t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.61,(-0.10293251516012972-0.0584727530859678j),(-2.0172990968982436+1.1889760137160115j),(3.4160604890819584-0.8184423773496072j),(-1.87401961547821+2.35841766356111j),(-0.5973630667816597-0.08828161791954409j),(-0.521885007537038-0.2104741589565822j)
0.62,(-0.10033135519815221-0.05534957813050297j),(-2.0892504663230116+1.1560810221452305j),(3.349064536112795-1.0745292899089314j),(-1.8511852062582288+2.432671821461871j),(-0.5960046744629924-0.09366203143997359j),(-0.5083273832316478-0.22310436939193898j)
0.63,(-0.09781530810834961-0.05212266246490345j),(-2.1608086016840593+1.107466787620354j),(3.252733310456291-1.3213027946655034j),(-1.8219616808740764+2.5146951944127514j),(-0.5942358947623958-0.09896367236844428j),(-0.49388140398389524-0.23523975459518487j)
0.64,(-0.09539628593040414-0.04885701413359467j),(-2.2236613041564466+1.0448727506556705j),(3.129215842497548-1.5530715722119675j),(-1.78255563914792+2.602539357408738j),(-0.592296724202064-0.10416096641327115j),(-0.4785605163948496-0.246831209243426j)
0.65,(-0.093049898027116-0.045547876083122406j),(-2.274571452093438+0.981203873884616j),(2.9806798224391704-1.7649847076326828j),(-1.7308404494299698+2.6989650871563446j),(-0.5902010932679733-0.10951083237179113j),(-0.4623813344402569-0.2578270583183175j)
0.66,(-0.0907811185002933-0.04210255012108959j),(-2.3153761637409604+0.9053679725036023j),(2.8117512441364094-1.954448694798937j),(-1.668577347994246+2.8030388900737218j),(-0.5876580956775431-0.11496302172816864j),(-0.44536408124894744-0.26817311987760845j)
0.67,(-0.08856080410021179-0.03853246964110408j),(-2.339935388380357+0.8183133560794469j),(2.6279808317653424-2.118274719319101j),(-1.5919692633922164+2.9115830540772456j),(-0.5848616232791661-0.12059871017328563j),(-0.4275330493199012-0.2778128270322829j)
0.68,(-0.0864357793387301-0.03478305829407896j),(-2.34970673872205+0.7321376743756943j),(2.432692749492357-2.2554979151853556j),(-1.5017370561131882+3.0266588442735816j),(-0.5815104555500281-0.12658055498682777j),(-0.40891707741460537-0.28668741288906735j)
0.6900000000000001,(-0.08450211965785631-0.03082766238884188j),(-2.344274270457918+0.6496527647291599j),(2.2297388483731004-2.366794056795649j),(-1.3995354877081267+3.147865542567852j),(-0.5772507763593919-0.1327448323466933j),(-0.38955003767779023-0.29473616504729094j)
0.7000000000000001,(-0.08272368747373536-0.026668696147639444j),(-2.3225375839651674+0.5708484598189288j),(2.025036496600994-2.4520143941303494j),(-1.281514547596675+3.2707926170436923j),(-0.5722733836271845-0.13915712875727218j),(-0.36947131603851757-0.30189676000669796j)
0.71,(-0.08115120625291175-0.022280208581159446j),(-2.288614143757378+0.500984764416346j),(1.8218147992409954-2.512877497729727j),(-1.1478843081932102+3.3947138410629463j),(-0.5663520544164923-0.1457917548929052j),(-0.34872630174378516-0.30810567383437015j)
0.72,(-0.07990422468446615-0.017712642409992728j),(-2.2459440521934377+0.44382497117493647j),(1.6219986879675223-2.552099468645212j),(-1.0005685464590703+3.5189290909324735j),(-0.5592593006894113-0.1522922800298585j),(-0.3273668631788331-0.31329868214072626j)
0.73,(-0.07901602895740875-0.013015281917224987j),(-2.1982167982446397+0.40003707666799554j),(1.428021780181753-2.57186888278795j),(-0.8390069393976612+3.6416834807858605j),(-0.5510396267673278-0.15849840113987024j),(-0.3054517900643463-0.3174114578242027j)
0.74,(-0.07848265151830505-0.008201984518149682j),(-2.1493621358714914+0.36870956594437115j),(1.241826213135191-2.57437475641024j),(-0.6621924199768315+3.7615892025610345j),(-0.5417085604749899-0.16429880496126928j),(-0.2830471924059971-0.32038026688713234j)
0.75,(-0.07833481797872849-0.003342431380842122j),(-2.1021607752660945+0.3490823841050661j),(1.064154357342452-2.5621187302716297j),(-0.47063724527155465+3.877672607874802j),(-0.5313490206808623-0.1694038587304015j),(-0.2602268392568561-0.32214276283860266j)
0.76,(-0.0785973483649516+0.001469417165263099j),(-2.058765352306158+0.3393965796365786j),(0.8954657769948173-2.537254543056928j),(-0.26478354312353125+3.9887989063812226j),(-0.5202000349186713-0.1736070728375669j),(-0.23707240851078015-0.3226388793251958j)
0.77,(-0.0792344482956113+0.006188510594087716j),(-2.0205708753317553+0.33772552711476056j),(0.7362857606742874-2.501655177586522j),(-0.04382089646621509+4.093728210414364j),(-0.5085121490568251-0.17680625737328484j),(-0.21367365825049123-0.3218118147933912j)
0.78,(-0.08017908374336342+0.010799896632007222j),(-1.9880587562921628+0.34243599898212757j),(0.5868247174275759-2.4570687269534655j),(0.19282064170774466+4.190938071688395j),(-0.4965677623199443-0.17902050829960067j),(-0.1901284819620238-0.319609105324302j)
0.79,(-0.08139615388773568+0.015282709127085523j),(-1.9615046955472488+0.3518145591248601j),(0.4470412271348981-2.4049864412434103j),(0.4452252974062702+4.278799051336631j),(-0.4846782161499996-0.18035024028368482j),(-0.1665428194397743-0.3159837754585488j)
0.8,(-0.08285551308498823+0.019598252191912514j),(-1.9412847663502417+0.3644146209528239j),(0.31682894269697676-2.346662917492719j),(0.7136971476289935+4.355587145358069j),(-0.4732326673556063-0.18090163469273612j),(-0.14303040876101947-0.31089554887547327j)
0.81,(-0.08448387901793722+0.023831993427906813j),(-1.9268844920526247+0.3792053757462573j),(0.19606490895467094-2.2833364838152685j),(0.9985642756149493+4.418896980642063j),(-0.4624040531755723-0.18106977032463792j),(-0.11971235907301882-0.3043120951458154j)
0.8200000000000001,(-0.08629187645238327+0.02808824275323062j),(-1.91768265283837+0.3949950413804147j),(0.08448569543716286-2.2160975142165578j),(1.299484913766906+4.466143191738923j),(-0.45217580327753903-0.1813134306215626j),(-0.09671651964160637-0.29621028654475057j)
0.8300000000000001,(-0.08831567353901734+0.03238988883383309j),(-1.913755411656747+0.41082763966508j),(-0.0182376781029379-2.1458458083955883j),(1.61586261364403+4.494671544144002j),(-0.44268064090633347-0.18196504617895867j),(-0.07417666629135729-0.2865774413534284j)
0.84,(-0.09058390649754254+0.03680229097980306j),(-1.9150303266793909+0.42599334796867966j),(-0.1124894451243334-2.0734279794454484j),(1.9465499284457763+4.501517384786946j),(-0.43395563745251386-0.18347981568063637j),(-0.052231464152462166-0.27541251550939067j)
0.85,(-0.09326162391122342+0.041447906798161654j),(-1.9202852667414152+0.4392265853509682j),(-0.19880334144063297-1.9997284166890685j),(2.2893720263301343+4.48367628178654j),(-0.42539665561908285-0.18641631509539752j),(-0.031023207824870613-0.26272720264352206j)
0.86,(-0.09653168808779948+0.04631169140457968j),(-1.9286711394171567+0.4492786994272396j),(-0.2778250533367639-1.9254779425566864j),(2.641552844304252+4.438530090912847j),(-0.4164565625515474-0.1910462372599213j),(-0.010696349136660857-0.24854689969506608j)
