t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00
0.74,(0.022051145020452897+0.3843709297659793j),(-0.6684035389000228+1.3351943151127326j),(1.684435207049469+2.08181297318248j),(0.7287446853305904+0.3575370400651075j),(0.14088888738773683-0.3681744423469817j),(-0.3863971640946936-0.4502096011153441j),(0.05326009267134158-0.5655242102562644j),(-1.3046298894455963-1.055527456586124j),(0.4609049080575363+0.9925310521622183j),(-0.6015968830900765-0.20280194357542258j),(0.9366853376679624+0.47966940507871103j)
0.75,(0.022959442380163977+0.3860413849330158j),(-0.6684603311234414+1.3352967275359588j),(1.6844520255345312+2.081824071926388j),(0.7282344525070129+0.35851594293301065j),(0.13976545639198046-0.37596316252009016j),(-0.3846608172451082-0.450657599460881j),(0.051317485871573296-0.5647981693367233j),(-1.3044578111831595-1.0554880124752308j),(0.46090332847584425+0.9925775122250016j),(-0.6001500321259784-0.2049984906277833j),(0.9366177607572446+0.47925028012128257j)
0.76,(0.023740251314366474+0.38765128181827724j),(-0.6685254672512766+1.3353908094046698j),(1.6844680781992039+2.0818381915892386j),(0.7277876689994222+0.35950004609130565j),(0.13844232549672694-0.38387713258786643j),(-0.38284208357051025-0.45098770556729967j),(0.0493225732722394-0.5642152747271646j),(-1.3042800004404136-1.0554398103364173j),(0.4609028813086317+0.992637049195047j),(-0.5987080363612883-0.20722075283791758j),(0.9365421829498365+0.4788625646806144j)
0.77,(0.024389190082813608+0.38919874968437596j),(-0.6685994781207178+1.3354759738465112j),(1.6844833708145552+2.0818556258866625j),(0.727404971551712+0.3604852329782859j),(0.13691659213594862-0.391927308589869j),(-0.3809406201377188-0.45119434005556386j),(0.04727090189435919-0.5637786667471831j),(-1.3040962836910088-1.05538241571742j),(0.46090217039786513+0.9927106444540305j),(-0.5972699781896396-0.20946360797073982j),(0.9364635450090661+0.47850996170129184j)
0.78,(0.024903750356235856+0.39068166093914364j),(-0.6686826659417634+1.335551794069702j),(1.684497948344408+2.08187656386062j),(0.727085002741021+0.36146498030248336j),(0.13518626228517475-0.40012484081055893j),(-0.37895894787383183-0.4512734716406591j),(0.04516086605527146-0.5634951766893243j),(-1.3039067584279525-1.0553156068432568j),(0.46089992495814625+0.9927990900063844j),(-0.595836201396448-0.21172064770731164j),(0.9363864366083147+0.47819538262356936j)
0.79,(0.025283297216340934+0.3920976311356313j),(-0.6687751042972208+1.3356180033630347j),(1.6845118949453397+2.0819010898794j),(0.7268244109777319+0.36243035804266904j),(0.1332502504614915-0.40848107377930004j),(-0.37690245156622604-0.4512226171315928j),(0.04299370736863452-0.5633753268190839j),(-1.3037117931636093-1.0552393746162243j),(0.460894999576712+0.992902988479299j),(-0.5944083111589122-0.21398417764484187j),(0.9363150963310166+0.47792094738337065j)
0.8,(0.02552906915581382+0.3934440189721092j),(-0.6688766381427064+1.3356744950958754j),(1.6845253339666828+2.0819291836376217j),(0.7266178505054729+0.36337002944785257j),(0.13110837972354192-0.41700754627035885j),(-0.3747793798625569-0.4510408414313937j),(0.04077351474442614-0.5634333303749082j),(-1.3035120274297014-1.0551539226158997j),(0.46088637421343487+0.9930227531227214j),(-0.5929891740460141-0.21624521729668658j),(0.9362534116706598+0.47768798441228844j)
0.81,(0.025644178078316746+0.3947179262920668j),(-0.668986883806646+1.3357213227181632j),(1.6845384279505238+2.081960720156231j),(0.7264579814011164+0.36427025103728244j),(0.12876138167152595-0.4257159913029044j),(-0.3726008452707585-0.4507287575371125j),(0.03850722438894365-0.5636870915681941j),(-1.3033083717773082-1.0550596670991397j),(0.46087315420082253+0.9931586078093554j),(-0.5915829180185181-0.21849350009234902j),(0.9362049190307852+0.47749703063758475j)
0.8200000000000001,(0.02563360929848919+0.39591619808421313j),(-0.669105228990274+1.3357586997604107j),(1.6845513786317041+2.081995469782506j),(0.7263354695747799+0.36511487260044595j),(0.1262108964472004-0.4346183361410087j),(-0.37038082415904383-0.45028852653982143j),(0.036204619804803814-0.5641582055832888j),(-1.3031020077768658-1.054957237000081j),(0.46085457024401805+0.9933105870346627j),(-0.5901949324289717-0.22071747337747963j),(0.9361728037249871+0.4773478314821907j)
0.8300000000000001,(0.025503514274018087+0.39703465326170234j),(-0.6692309226289717+1.335786812856612j),(1.6845643509130948+2.0820331826934213j),(0.7262412615927447+0.3658887954855916j),(0.12345952412337936-0.4437217823156432j),(-0.3681331638599002-0.44972215177651753j),(0.03387893213132931-0.5648676305761506j),(-1.302894241839067-1.0548472093873256j),(0.46082964002299676+0.9934785656468531j),(-0.5888306505079366-0.22290513436302684j),(0.9361608672420297+0.4772394889534685j)
0.84,(0.02526205689884708+0.3980600211877181j),(-0.6693626177595579+1.3358043008150138j),(1.6845765108717705+2.082073985471821j),(0.7261844285433227+0.36661172078014853j),(0.12052615853955638-0.45299626534505144j),(-0.3658712884433596-0.44902793119965817j),(0.031556812488461775-0.5658020768101977j),(-1.3026862080878492-1.0547287841472934j),(0.4607946328288509+0.9936596001682453j),(-0.587487302685177-0.22504086656021086j),(0.9361743800601566+0.47717386732170525j)
0.85,(0.024932872173929282+0.3989805078721139j),(-0.6694964394707622+1.3358109114920067j),(1.6845868731085007+2.0821170292160005j),(0.7261616295707725+0.3672957119742084j),(0.11745166629042522-0.4624366633717706j),(-0.3636633552125483-0.4482311929407482j),(0.02927630044382891-0.566965868228443j),(-1.3024814002554814-1.0546040845784204j),(0.4607481783170437+0.9938457150364037j),(-0.5861719064097279-0.22708773669033805j),(0.9362024799284845+0.4771543420797675j)
0.86,(0.024540425932342843+0.39978845783100236j),(-0.6696285040806316+1.3358071291337812j),(1.6845947821336325+2.0821612400257528j),(0.7261651155682209+0.367944658670532j),(0.11426778027338698-0.47202633503416797j),(-0.3615782797392688-0.44736136002975374j),(0.027081719910174565-0.5683585740863457j),(-1.3022835861673043-1.054476088590242j),(0.4606903460220083+0.9940294813119119j),(-0.5848953499072798-0.22900845178465362j),(0.9362339281983426+0.4771813964114288j)
0.87,(0.024107421392817015+0.4004793299943098j),(-0.6697553147212973+1.3357938309834743j),(1.684599836796896+2.082205531183133j),(0.7261871648246346+0.36855975518021306j),(0.11099419020536117-0.48172591929055864j),(-0.3596755339644469-0.44644686157615704j),(0.025024016745394145-0.5699661171096981j),(-1.302096363959337-1.0543479876317168j),(0.46062199258652586+0.9942046225608009j),(-0.5836698211044355-0.23076880794279617j),(0.9362602482344049+0.47725244431611047j)
0.88,(0.02365479915973217+0.40105169770577687j),(-0.6698737613389757+1.3357722872811701j),(1.6846018902874065+2.0822488031524564j),(0.7262200830248193+0.3691395005226785j),(0.10763854262278558-0.49147333541920557j),(-0.3580051461981312-0.44551513276895616j),(0.02316075875253463-0.5717607734946261j),(-1.301923162078276-1.0542231866912262j),(0.460544761761725+0.9943660148545487j),(-0.5825088076287109-0.2323376903327975j),(0.9362757254146901+0.4773618306088815j)
0.89,(0.023201737223119783+0.40150724872295807j),(-0.6699811206939672+1.3357441612638992j),(1.6846010501336628+2.0822899435803004j),(0.7262562032494204+0.36967969842568815j),(0.10419644088161642-0.5011837830183195j),(-0.35660770111949336-0.4445926148766652j),(0.021556135679794572-0.573701172907588j),(-1.301767239281496-1.0541053042965742j),(0.46046108440708194+0.9945096867700813j),(-0.5814270968085338-0.23368707319108284j),(0.9362774071305614+0.47750083092045875j)
0.9,(0.022765650958662446+0.4018507852172219j),(-0.670075056360657+1.335711509165639j),(1.6845976782035477+2.082327827295504j),(0.7262878859749224+0.3701734573253348j),(0.10065144515732825-0.5107497420060588j),(-0.35551433977682817-0.44370475524731423j),(0.02028095922052412-0.5757322984853762j),(-1.3016316846370497-1.0539981725149872j),(0.46037417849042056+0.994632819389772j),(-0.5804407756732444-0.23479201982247064j),(0.936265102786727+0.477657651697207j)
0.91,(0.02236219312769386+0.4020902237737509j),(-0.6701536187275149+1.3356767802173137j),(1.684592390704328+2.082361316309166j),(0.7263075190736494+0.3706111903660444j),(0.096975072444914-0.5200409726205301j),(-0.35474675958755336-0.4428760073084492j),(0.019412663013224977-0.5777854868351159j),(-1.3015194175236673-1.0539058369531151j),(0.4602880490879124+0.9947337463014414j),(-0.5795672309530957-0.23563068260017264j),(0.9362413838012398+0.4778174302011387j)
0.92,(0.022005253877198833+0.4022365953915417j),(-0.6702152449970951+1.3356428166467944j),(1.6845860581826553+2.082389259814649j),(0.7263075178137648+0.37098061540057575j),(0.09312679655888498-0.5289045154197873j),(-0.35431721433820973-0.4421298305671322j),(0.01903530264155045-0.5797784280342655j),(-1.301433187630757-1.0538325567570297j),(0.46020748838407655+0.9948119535983577j),(-0.5788251490792528-0.2361843029657939j),(0.9362115836054973+0.47796223450991426j)
