t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010
0.44,(0.13631907013783323-0.3066376052127174j),(-0.00018630253185571177+0.0002561555875603707j),(-7.614524457300511e-07-3.106400625362896e-06j),(-0.04478935018632357-0.04647798063768835j),(-0.22621238019608642-0.5019141368801626j),(-0.03164938630801055-0.08236938986446413j),(-0.027619568345323378+0.0003174758228824395j),(-5.6253116052080806e-05+3.196466407596443e-05j),(0.0019286127256784996-0.00893992002420917j),(-0.04665890023907185-0.012689243001396618j),(0.020581258574044227-3.723581243867888e-06j)
0.45,(0.12285851122556926-0.30362397451909234j),(-0.00017172732013123374+0.0002676706835054569j),(-9.564126829383604e-07-3.0842140619383093e-06j),(-0.04819947954230924-0.04376107270691419j),(-0.23998573137448248-0.4986880530551556j),(-0.03721383307873333-0.08274879542754182j),(-0.02935624371512189+0.001746776215244203j),(-5.5396055246446994e-05+3.5259982096718574e-05j),(0.0013422283540474407-0.009111970311048179j),(-0.048019322204069154-0.01027284472694727j),(0.020618795788432415-0.001214970412755232j)
0.46,(0.10960603793110471-0.30016885277267913j),(-0.00015644576635674928+0.00027825609285998863j),(-1.1500840553741337e-06-3.049400731238721e-06j),(-0.05140462577886408-0.04083911128545817j),(-0.2534685750417956-0.49488456168783035j),(-0.042910090920173526-0.08275390083592671j),(-0.03115616962803419+0.0033389863240981896j),(-5.433872455037516e-05+3.8525779031379534e-05j),(0.000748218771123849-0.009244892196305064j),(-0.04925075450262381-0.00773631679343172j),(0.02058444033948169-0.002411176066896106j)
0.47000000000000003,(0.09658866544034381-0.29628567462057553j),(-0.0001405611144822936+0.00028785050728691867j),(-1.341268717431906e-06-3.002359452257759e-06j),(-0.0543930745562262-0.03773223142819537j),(-0.2666316288043202-0.490526679956348j),(-0.04870552233827868-0.08237680697767938j),(-0.03302445675544532+0.005104368423228008j),(-5.3090164779175366e-05+4.174340065410976e-05j),(0.00014999373455026107-0.009338343149227466j),(-0.05034393908241078-0.005092255884677578j),(0.020479304911024284-0.0035857793181955366j)
0.48,(0.08383234557614352-0.2919872152549364j),(-0.00012418706069825368+0.00029639848318019346j),(-1.5287396764570401e-06-2.9436242943257637e-06j),(-0.05715471580415242-0.03446202757755574j),(-0.27944621802720604-0.4856374834431635j),(-0.05456594243005065-0.0816122619469897j),(-0.03496708604430498+0.0070536795048857966j),(-5.1661708200794184e-05+4.489391533941089e-05j),(-0.0004489088075222804-0.009392225031059253j),(-0.05129026080030566-0.0023540463723116384j),(0.02030467606225691-0.004732135559615852j)
0.49,(0.0713619667983138-0.2872855904129739j),(-0.0001074477534353681+0.00030385044166475353j),(-1.7112407927457282e-06-2.8738645771097855e-06j),(-0.05968104372191843-0.03105155356352397j),(-0.29188427583445853-0.4802401061350252j),(-0.060455618883545746-0.08045766104417679j),(-0.03699090871712765+0.009198171279792234j),(-5.0066978535814706e-05+4.795811406212377e-05j),(-0.0010448227164342174-0.0094066840950405j),(-0.052081747422384736+0.0004641396842401044j),(0.020062014227740732-0.005843516802552729j)
0.5,(0.05919927332990638-0.28219466749017114j),(-9.046599280178334e-05+0.0003101711260117594j),(-1.8876989618961847e-06-2.793863448124912e-06j),(-0.061967392003913116-0.027524946366484705j),(-0.3039169603338874-0.47435846799543074j),(-0.06633714860493044-0.07890925334870239j),(-0.039102604417273326+0.011546591572406152j),(-4.832094478339736e-05+5.091879856499549e-05j),(-0.001634415529002955-0.009382189432504429j),(-0.05271154774691758+0.0033471201959025094j),(0.019753016156455187-0.006913737748356233j)
0.51,(0.0473512474103385-0.27674227238815824j),(-7.325832756573282e-05+0.0003153855853932934j),(-2.0586772723720508e-06-2.7039561091182113e-06j),(-0.06402243247247406-0.023897480825060127j),(-0.3155105647557848-0.4680239474340635j),(-0.07217067491817854-0.07694396230433566j),(-0.041300286054545006+0.014092454973819073j),(-4.6426791565178414e-05+5.377609442630434e-05j),(-0.0022179331894995992-0.00931956600177968j),(-0.053176730353839956+0.00627724486656024j),(0.019380443880537186-0.007943384435126422j)
0.52,(0.03584446698223115-0.2709304576278037j),(-5.589199851092107e-05+0.0003194408963274598j),(-2.223151604993525e-06-2.603996744477837e-06j),(-0.06582888224313789-0.020175358650582766j),(-0.3266522560413351-0.46126512499692757j),(-0.07791744345365895-0.07458330811183982j),(-0.043586418558122376+0.01686509284253819j),(-4.438441048952862e-05+5.651257414973101e-05j),(-0.0027922629454697834-0.009218384275764028j),(-0.053470720830769564+0.00923816752042282j),(0.018947410697439496-0.008931780726357436j)
0.53,(0.02470933069327838-0.26475710071471215j),(-3.845760511024987e-05+0.000322274856600671j),(-2.379711188811637e-06-2.4939436459797602e-06j),(-0.06736571344661994-0.016366565862916765j),(-0.3373331812654287-0.45410834922067295j),(-0.08354065785479717-0.07185821728505862j),(-0.045962212203392645+0.01989812977956487j),(-4.219622128279617e-05+5.9107009582778684e-05j),(-0.003353416914450167-0.009078279395436257j),(-0.05358693044246356+0.012213823583027366j),(0.018456937149389306-0.009877024902148009j)
