t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.81,(0.0861062939021593+0.10922968093134607j),(-1.2839950183031519+0.4403669948527089j),(-0.6770484016161926-1.3177718755144876j),(1.6020695674854888+1.4165146598636473j),(-0.6353601868287072-0.5444710178521873j),(0.0861062939021593+0.10922968093134607j)
0.8200000000000001,(0.13554979079713847+0.05570099646345883j),(-1.2309539128897797+0.5740945713713945j),(-0.7966194881167056-1.247014345883297j),(1.6966899812310423+1.3035230343864215j),(-0.7071201939907807-0.4438456511231837j),(0.13554979079713847+0.05570099646345883j)
0.8300000000000001,(0.14762900007128643-0.014375200120247766j),(-1.164821004211929+0.7004973950067147j),(-0.9106776495052163-1.1641347717979587j),(1.7826438418740675+1.1851293898843922j),(-0.7644149889311957-0.3319117983652568j),(0.14762900007128643-0.014375200120247766j)
0.84,(0.1197497091092469-0.0802800103045257j),(-1.0867556217311942+0.8182449313962182j),(-1.0178160043661169-1.069477817624097j),(1.8597468495915472+1.0619378549553244j),(-0.8050361899830478-0.21135450125933553j),(0.1197497091092469-0.0802800103045257j)
0.85,(0.05819169653409012-0.12153559612970814j),(-0.9981339562064461+0.9262206816528463j),(-1.1166351937379155-0.9635902136264789j),(1.9278470235308038+0.9345405923184623j),(-0.8274162876084854-0.08515237870714404j),(0.05819169653409012-0.12153559612970814j)
0.86,(-0.01985825348804513-0.12050182667582127j),(-0.900436335257289+1.0235026629634372j),(-1.2057433811132279-0.8472207559690207j),(1.9868173006520804+0.8035150984187573j),(-0.8306589401319093+0.04344730447231393j),(-0.01985825348804513-0.12050182667582127j)
0.87,(-0.08518448130644729-0.07087454938231047j),(-0.7951158749564192+1.1093920241450623j),(-1.2837762604234928-0.7213036226723226j),(2.036555535728543+0.6694242034268633j),(-0.8145389737399753+0.17092863754276055j),(-0.08518448130644729-0.07087454938231047j)
0.88,(-0.10638876264826445+0.010839563100411974j),(-0.6837192881738174+1.1834439340431768j),(-1.3495123919039882-0.5869759296220051j),(2.076984501346282+0.532816071239137j),(-0.7796150629996891+0.2937523873854869j),(-0.10638876264826445+0.010839563100411974j)
0.89,(-0.07183875176956801+0.08745571267200543j),(-0.5677168350231727+1.2454104490208342j),(-1.401783036246406-0.44576899379544804j),(2.1080518879043106+0.39422419947763876j),(-0.7275036630999098+0.40874363106308653j),(-0.07183875176956801+0.08745571267200543j)
0.9,(-0.00013951570657123186+0.12538270152325284j),(-0.4484990252493125+1.2952396444504661j),(-1.4396623614165616-0.2993113131458921j),(2.129730303614565+0.2541674194901329j),(-0.6602781516328893+0.5132178721539675j),(-0.00013951570657123186+0.12538270152325284j)
0.91,(0.07607326218599383+0.11454816895464551j),(-0.3273766182282044+1.3330756147138831j),(-1.4624993701617637-0.14928833169764533j),(2.1420110652205158+0.11315936185035692j),(-0.5802897934833993+0.6051403671921716j),(0.07607326218599383+0.11454816895464551j)
0.92,(0.13030635653212977+0.06525722777099685j),(-0.20558062296695478+1.359258473202274j),(-1.4699179000108151+0.0025575604539159746j),(2.1448674482000945-0.028266307832727294j),(-0.4901677408154677+0.6831261257990748j),(0.13030635653212977+0.06525722777099685j)
0.93,(0.1483732786023017-0.0036342099906692613j),(-0.08424657692062622+1.3742662159404793j),(-1.4618166232740124+0.1544270271423488j),(2.138280297934443-0.16959344587408742j),(-0.3927472002148369+0.7464000254094103j),(0.1483732786023017-0.0036342099906692613j)
0.9400000000000001,(0.12632221569852944-0.07148371161150546j),(0.035648450846448965+1.3785329135580529j),(-1.4383690470431454+0.304463786130141j),(2.122248977259042-0.3103024338558439j),(-0.2906403367318791+0.7947723015296424j),(0.12632221569852944-0.07148371161150546j)
0.9500000000000001,(0.06899678552816506-0.11766124264835742j),(0.1532256168621487+1.372627861211792j),(-1.3999540118885558+0.4508509298002946j),(2.09679083346255-0.4498679656241875j),(-0.18624460850211888+0.8286130124646593j),(0.06899678552816506-0.11766124264835742j)
0.96,(-0.008167531829860325-0.1237611072863564j),(0.26770991505417796+1.3571475827201944j),(-1.347240199664182+0.5918467643189406j),(2.0619411982868043-0.5877590472893764j),(-0.08165720790919984+0.8485194161922555j),(-0.008167531829860325-0.1237611072863564j)
0.97,(-0.07753268257821413-0.08101308620775201j),(0.3784324339517131+1.3327047891144637j),(-1.2811633337818693+0.7258168383106576j),(2.017753387926818-0.7234389972257451j),(0.02133764910718633+0.8552979161749287j),(-0.07753268257821413-0.08101308620775201j)
0.98,(-0.10680966361899148-0.002068884017820981j),(0.48483035668539454+1.2999283786385116j),(-1.2027913562437749+0.8513597558722802j),(1.964298703030783-0.8563654460716912j),(0.12126872305129172+0.8499640613598799j),(-0.10680966361899148-0.002068884017820981j)
0.99,(-0.08007935886283288+0.07785402934764606j),(0.5864469609873321+1.2594634367489577j),(-1.1133242718030996+0.9673073394836175j),(1.901666428700069-0.9859903367296852j),(0.2169777475805651+0.8337425407902789j),(-0.08007935886283288+0.07785402934764606j)
1.0,(-0.011925560650552149+0.12283597479271614j),(0.6829316191911022+1.2119712361151278j),(-1.0140941479640893+1.072724630007452j),(1.8299647906075673-1.111760244477106j),(0.30755170819616157+0.8078663942739052j),(-0.011925560650552149+0.12283597479271614j)
1.01,(0.06557736243913226+0.1189888485338288j),(0.7740189441231529+1.1581074247005319j),(-0.9065651149820356+1.16690988668954j),(1.749361553681583-1.2331215164770908j),(0.3923568509349781+0.773391676664491j),(0.06557736243913226+0.1189888485338288j)
1.02,(0.12427820716556602+0.07434273755820425j),(0.8594340388179819+1.0984212395910429j),(-0.7922322591793568+1.249348046252707j),(1.6599900548837778-1.3494669549933977j),(0.47095768699360674+0.7313737295818655j),(0.12427820716556602+0.07434273755820425j)
1.03,(0.14819309499912803+0.007076054778876007j),(0.9389813514665257+1.0334677086095474j),(-0.6724925789689709+1.3196837042158875j),(1.561997506600115-1.4601658999313254j),(0.5430149099219599+0.6827934500070089j),(0.14819309499912803+0.007076054778876007j)
1.04,(0.13202502321027487-0.062229879435771046j),(1.0125044798343208+0.963782713664095j),(-0.548784790393942+1.3777895634336454j),(1.4555891191954626-1.5645829660532553j),(0.6082853956232703+0.6285572902820522j),(0.13202502321027487-0.062229879435771046j)
1.05,(0.07930227407221012-0.11290872315525938j),(1.0798784843725489+0.889875547826899j),(-0.42245117225364415+1.4236838813185135j),(1.3410281010135936-1.6620780429786532j),(0.6666222023540905+0.5694972581102782j),(0.07930227407221012-0.11290872315525938j)
1.06,(0.0036331774702151112-0.12590617115089653j),(1.1410098882180364+0.8122289153343374j),(-0.2947344506724193+1.457528823091791j),(1.2186356583771853-1.752006295184068j),(0.7179745707242935+0.5063709165561205j),(0.0036331774702151112-0.12590617115089653j)
1.07,(-0.069012260136174-0.09027089702852456j),(1.1958366771932547+0.7312989315869522j),(-0.16677779909957868+1.479630461783543j),(1.0887909955878208-1.8337181620031324j),(0.7623868139254126+0.439861833997847j),(-0.069012260136174-0.09027089702852456j)
