t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.86,(0.5047262300620138-0.7652789475648675j),(-0.07760456188722178-1.3167378940761396j),(-0.49933954345119347-0.6414646153784465j),(-1.79930516075036+0.240845802451435j),(-1.2926264513945493-0.38935472225758067j),(0.5047262300620138-0.7652789475648675j)
0.87,(0.5163313489560045-0.7823207164091633j),(-0.08766909420725767-1.3530776351545344j),(-0.5056288068394819-0.6588634168656912j),(-1.784179199387139+0.287054413605865j),(-1.3079314498134886-0.3748763831674752j),(0.5163313489560045-0.7823207164091633j)
0.88,(0.5282981866609303-0.8000745854915923j),(-0.09912259341880905-1.391271013235953j),(-0.5126256002821726-0.6765733145215336j),(-1.7663357239354838+0.33232874003247076j),(-1.3230511796251494-0.3593269312340488j),(0.5282981866609303-0.8000745854915923j)
0.89,(0.5406409305528767-0.8185569680132126j),(-0.11211243032931849-1.4314032327859594j),(-0.5203764331294838-0.6945792521025782j),(-1.7458608804785671+0.37638974068299563j),(-1.337893981565503-0.3426936525662782j),(0.5406409305528767-0.8185569680132126j)
0.9,(0.5533738401586601-0.8377843832573139j),(-0.12680282235871382-1.4735612726169813j),(-0.5289295325813534-0.7128629309785618j),(-1.7228778447872022+0.4189708835244762j),(-1.352363619768923-0.324973262462331j),(0.5533738401586601-0.8377843832573139j)
0.91,(0.5665112038291354-0.8577734587425997j),(-0.14337682596382467-1.5178332017885972j),(-0.5383347254409957-0.7314024851345887j),(-1.6975443335668408+0.45982419155793414j),(-1.3663603784396041-0.30617289842236917j),(0.5665112038291354-0.8577734587425997j)
0.92,(0.5800672866295653-0.8785409254708682j),(-0.16203854823834812-1.564307237307975j),(-0.5486432772379257-0.7501721334864264j),(-1.6700489691137914+0.4987256708413624j),(-1.3797823653492187-0.28631097889242557j),(0.5800672866295653-0.8785409254708682j)
0.93,(0.5940562680593395-0.9001036057727577j),(-0.18301558837993215-1.6130704770560296j),(-0.5599076823356006-0.7691418117022585j),(-1.640606675075405+0.5354798784947222j),(-1.3925270067456028-0.2654178817629962j),(0.5940562680593395-0.9001036057727577j)
0.9400000000000001,(0.6084921680961224-0.9224783933073483j),(-0.2065617133310268-1.6642072262176408j),(-0.5721813982238071-0.788276786879824j),(-1.609453335663471+0.5699234450779486j),(-1.4044927073523632-0.24353639782184075j),(0.6084921680961224-0.9224783933073483j)
0.9500000000000001,(0.6233887599545396-0.9456822248328929j),(-0.23295976167550497-1.717796817503558j),(-0.5855185168893886-0.8075372597981864j),(-1.5768399859398405+0.6019274345286211j),(-1.4155806379864935-0.22072191832796156j),(0.6233887599545396-0.9456822248328929j)
