t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00
0.52,(0.32362838434637253-0.24640768714652844j),(0.8486194429617124+0.43215012314884227j),(-0.16035650841319582-0.5891393962375677j),(-1.9342355801486764+0.6187339474507942j),(0.5875471820849196+1.3789521988637614j),(-0.5210321970586322+0.8270748572861294j),(0.9599719142936693+1.3324425080602647j),(-1.1558553423203493+0.12210413218816818j),(-0.9039130801375985-0.7763216177194953j),(0.19338039296456258+1.086722683862727j),(1.3038949925044054-0.6438284107890782j),(0.19279071705257483-0.8674589318549746j),(-0.2082178875500359-0.6739490367459352j),(0.2902564101903056-1.2910039617309579j),(-0.745166712328167-1.6245519588028376j)
0.53,(0.314512087769918-0.259593812541559j),(0.8544622250444571+0.41932148992285695j),(-0.1649858299679135-0.5888655209381148j),(-1.9346429958598839+0.6188354738085177j),(0.5977463895306288+1.3742207038026502j),(-0.5201062263062297+0.8271586767629924j),(0.9710604995519603+1.3240924722182639j),(-1.156268293375778+0.11876835126819624j),(-0.903536842831774-0.7774048180754978j),(0.20068621348235202+1.0849441475199617j),(1.2968867110762794-0.6579554129460419j),(0.185320842814154-0.8697813400198259j),(-0.2119405850018848-0.6736504316578027j),(0.2818267296301334-1.2933690593673106j),(-0.7491032715326996-1.6232122889871137j)
0.54,(0.30500841803367434-0.2723713998860495j),(0.8602066342466674+0.40626017425986394j),(-0.1695232119730201-0.5885913624012131j),(-1.9350916879945057+0.6189124409392468j),(0.6079884762380202+1.3693532271239737j),(-0.5192152836149646+0.8272011495139046j),(0.9821403790803602+1.3155627376670453j),(-1.156660675973663+0.11532158060021191j),(-0.9031024344967447-0.77854555766609j),(0.20806441210740997+1.0830852566254994j),(1.2897461557943202-0.672063317849283j),(0.1779196815051578-0.8720159837136111j),(-0.21557087888250612-0.6733780099119254j),(0.27334638034053454-1.2956820515400547j),(-0.7529865549942386-1.6218867088752407j)
0.55,(0.2951441710980876-0.2847323017637201j),(0.8658773745487223+0.3929388308898242j),(-0.17396269571788817-0.5883253550067228j),(-1.9355860644026588+0.618939931778282j),(0.6182845243517678+1.364339178714173j),(-0.5183795767912714+0.8271832184488059j),(0.9932255118877555+1.3068367226465323j),(-1.1570343156646856+0.11171285269237591j),(-0.9025826771751624-0.7797705049478213j),(0.21552196779150376+1.081139059312079j),(1.2824653141587448-0.6862029621149877j),(0.17058414085910414-0.874168238331571j),(-0.2190994942359681-0.6731402230163427j),(0.26482414248357045-1.2979450167844795j),(-0.7568094546495343-1.6205797580430394j)
0.56,(0.28494844521191376-0.29667041996635357j),(0.8715005114714852+0.3793286454567305j),(-0.17829774326099712-0.5880761791910281j),(-1.9361303188906915+0.6188924281245421j),(0.6286462537597877+1.3591674877934288j),(-0.5176201613191247+0.8270849666398908j),(1.0043306005550783+1.2978970234738423j),(-1.1573907324283115+0.10788904867948312j),(-0.9019492304113186-0.7811068343514698j),(0.2230663308001519+1.0790983432608632j),(1.2750273550725348-0.7004462992255407j),(0.16331144205543477-0.8762433550095977j),(-0.22251772041650117-0.6729450715709081j),(0.2562685458457531-1.3001599743282468j),(-0.7605648920827592-1.619296028998256j)
0.5700000000000001,(0.2744503610659684-0.308181092918359j),(0.8771042902145219+0.3654016849517331j),(-0.18252123742993334-0.5878527614470365j),(-1.9367284312211843+0.6187438106405652j),(0.6390860220932375+1.3538266029156631j),(-0.5169589403600399+0.8268856173216081j),(1.015471091235307+1.2887254145432878j),(-1.15773114067279+0.10379489832296357j),(-0.9011825270844779-0.7826069198048715j),(0.23070542271262376+1.076955635701438j),(1.2673837008988238-0.7149014079556267j),(0.15609911971951484-0.8782464606242356j),(-0.22581741108849773-0.6728001052672897j),(0.2476878698380452-1.3023288840913916j),(-0.7642458185255081-1.6180401671805642j)
0.58,(0.2636790617931269-0.31926109567677174j),(0.8827196614016596+0.3511773859217706j),(-0.18662548182138983-0.5876642743241798j),(-1.9373841671129488+0.6184673588525077j),(0.6496168247265174+1.3483044919685376j),(-0.5164186647530726+0.8265635338906616j),(1.0266631736534666+1.2793028483263764j),(-1.158105378181464+0.09940243056860047j),(-0.9002922300716615-0.7843647536385245j),(0.23844763642193914+1.074703203411814j),(1.2595103590825598-0.7295619666224749j),(0.14894502192263354-0.880182557792681j),(-0.22899098422651235-0.6727124228889695j),(0.23909014349586039-1.304453646686322j),(-0.7678452148567978-1.6168168709615625j)
0.59,(0.252663712968324-0.32990863993125374j),(0.8883197667413691+0.33662221256072383j),(-0.19060220080116674-0.5875201364284129j),(-1.9381010782410286+0.6180357511501451j),(0.6602522947772694+1.3425886421734545j),(-0.5160221394483199+0.8260970838185072j),(1.0379237811066275+1.269609455371811j),(-1.158600977857946+0.0947259978658251j),(-0.8992666617433037-0.7863825206844747j),(0.24630183613486936+1.072333052718425j),(1.2513883854287107-0.7444097468767381j),(0.1418473101820032-0.8820565248727819j),(-0.2320314221152616-0.6726886723112442j),(0.2304831454790627-1.3065361034178187j),(-0.7713560916030675-1.615630891644776j)
0.6,(0.24143350260855453-0.34012337400409287j),(0.893862648035811+0.32167850621252936j),(-0.1944425395041708-0.587430012422215j),(-1.9388825022366993+0.6174210647868716j),(0.6710067031063778+1.3366660600855567j),(-0.5157374642272032+0.8255257117499842j),(1.0492705904639072+1.2596245443054879j),(-1.1591925833148273+0.08973092457577064j),(-0.898092757517477-0.7886552810772713j),(0.25427735737193613+1.0698369294961285j),(1.2430001686681493-0.7594267878737558j),(0.13480445946076036-0.8838731159630384j),(-0.23493227134962416-0.6727350505012244j),(0.22187440407196712-1.3085780362830353j),(-0.7747714889381784-1.6144870334656563j)
0.61,(0.23001764117287277-0.3499063828502035j),(0.8993073892134793+0.30629374351470234j),(-0.19813706383441576-0.5874038130245887j),(-1.9397315626874678+0.6165947758797002j),(0.6818949583179688+1.3305232715937265j),(-0.515555692863828+0.8248680759226874j),(1.0607220221664677+1.2493266018305005j),(-1.1598523576172637+0.08438318676458183j),(-0.8967583192477472-0.791177922413222j),(0.26238400696741215+1.0672063191682066j),(1.234329430457654-0.7745953962735549j),(0.12781525816796493-0.8856369609026022j),(-0.23768764283464078-0.6728573035178352j),(0.2132711971833393-1.3105811679714987j),(-0.7780844766834141-1.6133901535915807j)
0.62,(0.21844536156239283-0.359260188057126j),(0.904614116329201+0.29042053639833665j),(-0.20167576046502222-0.5874516950110602j),(-1.940651169137073+0.6155277594092627j),(0.6929326067594104+1.3241463219205878j),(-0.5155016931686744+0.824105993622987j),(1.0722972402275188+1.238693292727135j),(-1.1605534987392292+0.07865125659308354j),(-0.8952520152231741-0.7939451597503923j),(0.27063206306932086+1.0644324467063648j),(1.2253612253799078-0.789898146240849j),(0.12087880815860053-0.8873525652712775j),(-0.2402922117855143-0.6730607265118161j),(0.2046805523463957-1.3125471618651083j),(-0.7812881543074803-1.612345162121853j)
0.63,(0.2067459191202884-0.3681887478450276j),(0.9097439975641366+0.2740166320881049j),(-0.20504803683821748-0.5875840612136796j),(-1.9416440170854854+0.61419028921981j),(0.7041358325213133+1.3175207756225038j),(-0.5155989161595512+0.8232218695634959j),(1.0840161522323155+1.2277014598528748j),(-1.1612702395635155+0.07250610231678085j),(-0.8935633801683108-0.7969515356086057j),(0.27903227513943657+1.0615062766307324j),(1.2160819409434995-0.8053178794450389j),(0.11399452473357458-0.8890243103895198j),(-0.24274121772760954-0.6733501637257209j),(0.19610924671880337-1.3144776220381367j),(-0.7843756509265047-1.6113570220877027j)
0.64,(0.1949485916317929-0.3766974570667012j),(0.9146592432257797+0.2570449131022583j),(-0.2082427211653359-0.5878115605210207j),(-1.9427125879889071+0.612552038019211j),(0.7155214574375295+1.310631716589579j),(-0.5158693960615942+0.8221986958830697j),(1.0958994093381589+1.2163271241423959j),(-1.1619778478817324+0.065921188285859j),(-0.8916828152432039-0.8001914199694438j),(0.28759586395328474+1.0584185130098622j),(1.2064792975829222-0.8208377050602126j),(0.10716213663971791-0.8906564533184367j),(-0.24503046449645344-0.6737300084939172j),(0.18756380708268017-1.3163740932572292j),(-0.7873401253040376-1.610430749452286j)
0.65,(0.1830826793241994-0.3847931472075664j),(0.9193231057479572+0.23947339725262667j),(-0.21124767750779058-0.5881456308030771j),(-1.9438591492597723+0.6105820773789542j),(0.7271069410851537+1.3034637480456577j),(-0.5163337503072674+0.8210200521468066j),(1.1079684062743969+1.2045454846075705j),(-1.162652626394307+0.05887247494518341j),(-0.889601588043394-0.8036590102762461j),(0.29633452160014123+1.0551595994607315j),(1.196542348658575-0.8364409997651451j),(0.10038168606978531-0.8922531268597877j),(-0.24715632023773515-0.6742042032425873j),(0.17905050984459464-1.3182380609814044j),(-0.7901747658510513-1.609571413110685j)
