t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004
0.97,(0.14345487872460916-0.06261863330830078j),(0.0015476489932604327-0.00099001992894607j),(-0.00021606064321209891-0.00018964744183885192j),(2.4761596157012235e-10+5.934918837702698e-10j),(0.06534515713523048-0.0003749064817820547j)
0.98,(0.1279009584211059-0.10647534413848127j),(0.0013179479559805687-0.0016432916870042027j),(-0.0002565529310544881-8.703968993339136e-05j),(6.534296055637451e-10+3.696895158292298e-10j),(0.07077504352940575-0.018238744990708614j)
0.99,(0.09884703923460166-0.14616146108518044j),(0.0008275604609562639-0.0022625427316895247j),(-0.00025461878275732155+1.7269761759647392e-05j),(8.791178003295385e-10-1.232445323396231e-10j),(0.07154795269643108-0.03889282814541685j)
1.0,(0.05753735044260658-0.17744940021895222j),(7.151816197920659e-05-0.0027468509836777646j),(-0.0002149660735389329+0.00010747891066205303j),(7.510450373556145e-10-7.510908897012791e-10j),(0.06657814470134774-0.06112161893108811j)
1.01,(0.006569325686675162-0.1965305383629397j),(-0.0009163950437138112-0.0029876898522389925j),(-0.00014760346871906904+0.00017153676662161771j),(1.902172054515408e-10-1.2706413685433765e-09j),(0.055109096388885226-0.08332166674432083j)
1.02,(-0.050264184601732445-0.20045836362095595j),(-0.0020589767994208274-0.002883975183167878j),(-6.57337531363127e-05+0.00020267712302375303j),(-7.213186634685543e-10-1.393819836333079e-09j),(0.036848835272981904-0.10359690357861236j)
1.03,(-0.10828080241984264-0.18752688000444082j),(-0.0032369435039823623-0.0023594284759295772j),(1.6670630998850746e-05+0.0001999311424496641j),(-1.7163252894390976e-09-8.908986047038817e-10j),(0.012075043625500064-0.11990125649102291j)
1.04,(-0.16233443041739815-0.15753340885407116j),(-0.004297290043901772-0.0013797467176315478j),(8.71595230318877e-05+0.00016763168298652796j),(-2.3825832566821913e-09+2.945281376307503e-10j),(-0.018307350633507864-0.13021817626435112j)
1.05,(-0.20731581267856522-0.11188990405345142j),(-0.005068650029019258+3.3285135477977446e-05j),(0.00013658489172554812+0.000114106571215121j),(-2.2720767957812847e-09+1.9580458225230327e-09j),(-0.052767505560171624-0.1327597815535417j)
1.06,(-0.2386708390011098-0.05356245974632341j),(-0.005382396851331449+0.0017936079200701394j),(0.00016012460573344774+4.9880251943519e-05j),(-1.060304106561298e-09+3.614411582771241e-09j),(-0.08921620170762362-0.12616456398536965j)
1.07,(-0.2528771328040222+0.013158544401060943j),(-0.005097019536456925+0.00375095100363853j),(0.00015747279608285074-1.4248375231310643e-05j),(1.2855749550766705e-09+4.572051045078489e-09j),(-0.12513775236087246-0.10967136061610674j)
1.08,(-0.24782393764876468+0.0830336058952278j),(-0.004122450570623726+0.005700329026415496j),(0.0001322777425849668-6.89100554685869e-05j),(4.384530744416245e-09+4.103957354928882e-09j),(-0.15777582490560396-0.0832482917781759j)
1.09,(-0.22305172387331784+0.1503540602770486j),(-0.0024405967074135485+0.007400784773584083j),(9.10293196260735e-05-0.00010739726456240336j),(7.418456091630133e-09+1.6857451052354337e-09j),(-0.18435685155887302-0.047659975881813296j)
1.1,(-0.17982523142097578+0.2094736794880639j),(-0.0001185451748861384+0.00860166897046887j),(4.166426402604784e-05-0.00012629117107861612j),(9.241942720624598e-09-2.756419671207497e-09j),(-0.2023293035581582-0.0044627577394911674j)
1.11,(-0.12103380894376188+0.2553337065532422j),(0.0026882499370852186+0.009073406074705687j),(-7.836390110901323e-06-0.00012547689387743026j),(8.62583481366105e-09-8.660786399024604e-09j),(-0.20959470741354994+0.044074352217376024j)
