t,B00_z_0000_00,B00_z_0001_00
1.56,(1.0003441511074038-0.0001376498285539781j),(1.6126564710692457-5.908475260815147j)
1.57,(1.0003456395313006-0.00013850962552814985j),(1.6340858164045278-5.986848133718118j)
1.58,(1.0003471738679455-0.00013930031757294458j),(1.656683875359885-6.066505804705364j)
1.59,(1.0003487586117574-0.00014001220902033743j),(1.6805761719046846-6.1476015390274545j)
1.6,(1.0003503979894885-0.000140635684664075j),(1.7058813614611918-6.230270579130897j)
1.61,(1.0003520959099197-0.0001411612358885907j),(1.7327103457672168-6.314628545750637j)
1.62,(1.0003538559123326-0.0001415794865816865j),(1.7611654357406579-6.400770098735261j)
1.6300000000000001,(1.0003556811144028-0.00014188121914515719j),(1.791339571250733-6.488767889967846j)
1.6400000000000001,(1.0003575741602027-0.0001420574009386892j),(1.8233156091481868-6.5786718373674375j)
1.6500000000000001,(1.00035953716904-0.0001420992115091522j),(1.8571656925492774-6.670508743085998j)
1.6600000000000001,(1.0003615716858834-0.00014199807095711565j),(1.8929507150194913-6.7642822708411305j)
1.67,(1.000363678634155-0.00014174566977956848j),(1.9307198928530245-6.859973287261887j)
1.68,(1.000365858271674-0.0001413340005016603j),(1.9705104570756464-6.957540560793434j)
1.69,(1.0003681101505502-0.00014075539136902977j),(2.012347474200112-7.056921799882998j)
1.7,(1.0003704330818157-0.00014000254231643427j),(2.0562438013187494-7.158035000711764j)
1.71,(1.0003728251055717-0.0001390685633578307j),(2.1022001770951673-7.2607800644910965j)
1.72,(1.0003752834674033-0.00013794701546142858j),(2.150205445934861-7.365040636051089j)
1.73,(1.00037780460178-0.0001366319538757774j),(2.2002369084082525-7.470686109671902j)
1.74,(1.0003803841231085-0.000135117973771318j),(2.252260787183825-7.577573745164491j)
1.75,(1.0003830168250496-0.00013340025794604104j),(2.306232794564158-7.685550837153624j)
1.76,(1.0003856966886286-0.00013147462623002164j),(2.3620987853860544-7.794456883159495j)
1.77,(1.0003884168995862-0.00012933758610177457j),(2.4197954776412294-7.904125701017779j)
1.78,(1.0003911698753118-0.000126986383914987j),(2.4792512227003676-8.014387452874896j)
1.79,(1.000393947301582-0.00012441905601909178j),(2.540386807407728-8.125070540834253j)
1.8,(1.0003967401791976-0.00012163447895875435j),(2.603116271423944-8.236003347690062j)
1.81,(1.0003995388804698-0.0001186324178433211j),(2.6673477248633-8.347015804510045j)
1.82,(1.000402333215349-0.0001154135719079944j),(2.7329841533162353-8.457940774651982j)
1.83,(1.0004051125068265-0.00011197961623104901j),(2.79992419959148-8.568615250780082j)
1.84,(1.0004078656750715-0.00010833323854862643j),(2.868062913797797-8.678881367367039j)
1.85,(1.0004105813295903-0.00010447817009569154j),(2.937292465585008-8.788587235924041j)
1.86,(1.000413247868523-0.00010041920943330536j),(3.0075028143827525-8.89758761379071j)
1.87,(1.0004158535840264-9.61622382709156e-05j),(3.078582335250782-9.00574441980899j)
1.8800000000000001,(1.0004183867725316-9.171422837530434e-05j),(3.15041839945377-9.112927111721444j)
1.8900000000000001,(1.000420835848525-8.708323876919015e-05j),(3.222897910088533-9.219012940824266j)
1.9000000000000001,(1.0004231894603706-8.227840256012036e-05j),(3.2959077940318195-9.323887099428896j)
1.9100000000000001,(1.0004254366065926-7.730990290497369e-05j),(3.3693354521660996-9.427442776200014j)
1.92,(1.0004275667509612-7.218893779817254e-05j),(3.4430691703093466-9.529581133584966j)
1.93,(1.0004295699346797-6.692767357464198e-05j),(3.516998493557419-9.630211220455337j)
1.94,(1.0004314368839615-6.153918723364749e-05j),(3.5910145668788913-9.729249831848728j)
1.95,(1.000433159111308-5.6037397907727444e-05j),(3.665010444814827-9.826621326410255j)
1.96,(1.0004347290088638-5.043698802770817e-05j),(3.7388813730596815-9.922257410850634j)
1.97,(1.0004361399323205-4.475331494240053e-05j),(3.8125250445598846-10.01609689950617j)
1.98,(1.0004373862739773-3.900231396381812e-05j),(3.885841832584912-10.108085455934967j)
1.99,(1.0004384635237307-3.320039398735405e-05j),(3.9587350030188477-10.198175322431672j)
2.0,(1.0004393683169654-2.736432699983739e-05j),(4.031110907902441-10.286325042398119j)
