t,B00_A_0000,B00_A_0001
1.12,(-0.0016204246445689582-0.02275269327059043j),(8.247396968634456e-05+5.668717376828684e-05j)
1.1300000000000001,(-0.005173852557394725-0.022225523536545503j),(6.483145194621345e-05+3.898293178045443e-05j)
1.1400000000000001,(-0.008553597641641219-0.021165721351871506j),(5.053082180530511e-05+2.6339314315220616e-05j)
1.1500000000000001,(-0.011682493570676569-0.019622900094065678j),(3.9081033574280835e-05+1.7433407469586024e-05j)
1.16,(-0.014496007051523983-0.017657020364908217j),(3.001550052002194e-05+1.1252092645228435e-05j)
1.17,(-0.01694329724387439-0.015335400328995259j),(2.2909960456202787e-05+7.03038376323073e-06j)
1.18,(-0.018987603728223713-0.012729737203821798j),(1.7391382117669666e-05+4.198688050388759e-06j)
1.19,(-0.020606024449198033-0.009913290735402256j),(1.3140500506466213e-05+2.3387927905448847e-06j)
1.2,(-0.02178878053536716-0.006958354306911255j),(9.890094612139866e-06+1.1479270753610322e-06j)
1.21,(-0.022538051269152794-0.00393405256723118j),(7.420762611086019e-06+4.099916785257983e-07j)
1.22,(-0.02286650257266805-0.0009045556072738567j),(5.555334921293921e-06-2.7009147546176338e-08j)
1.23,(-0.022795617126684306+0.0020722781545221393j),(4.152817757494509e-06-2.683665293890441e-07j)
1.24,(-0.02235392964725125+0.0049458335965832535j),(3.1024437293476925e-06-3.8584982916538873e-07j)
1.25,(-0.021575259188203622+0.007673269257777344j),(2.3181793026058435e-06-4.2752918993215885e-07j)
1.26,(-0.020497015253159764+0.0102196868939122j),(1.733872326350678e-06-4.24976073035986e-07j)
1.27,(-0.01915863769860218+0.012557991681361753j),(1.2991064732395454e-06-3.984580390177073e-07j)
1.28,(-0.017600213308616247+0.014668500581990897j),(9.757533772337078e-07-3.606276501673256e-07j)
1.29,(-0.01586129567511087+0.016538358087201836j),(7.351678986315027e-07-3.191008207641138e-07j)
1.3,(-0.013979940477114351+0.018160816680178146j),(5.559488171232893e-07-2.7823015124769757e-07j)
1.31,(-0.011991955968964955+0.019534434755122895j),(4.22179314264276e-07-2.403044341052984e-07j)
1.32,(-0.0099303587327121+0.02066223827167593j),(3.220633383539852e-07-2.0634582963226984e-07j)
1.33,(-0.007825017563457945+0.02155088489713529j),(2.468812407705678e-07-1.7662956667458638e-07j)
1.34,(-0.005702463594449642+0.02220986148358179j),(1.901980396073007e-07-1.5101544816934866e-07j)
1.35,(-0.0035858421607666635+0.022650737991734525j),(1.4726838689199408e-07-1.2915390210772185e-07j)
1.36,(-0.001494981099329737+0.02288649381662689j),(1.145926160164859e-07-1.1060992335710767e-07j)
1.37,(0.0005534481694140555+0.022930926356949044j),(8.958744079209206e-08-9.493433747999932e-08j)
1.3800000000000001,(0.0025457004609102402+0.022798144814602062j),(7.03429176256978e-08-8.170205591579666e-08j)
1.3900000000000001,(0.004470684331034805+0.02250215048764666j),(5.54439503797975e-08-7.05302940299216e-08j)
