t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00
1.04,(-0.7081922643002325-0.6647685951479094j),(-0.2211925311217495+0.8073504297742085j),(-1.3015734686109173-0.14747127822127787j),(0.8464762178636699+1.5500585528281903j),(-0.2975871579560988+0.12146428648775956j),(0.6127522204132981+0.4481107507896607j),(-1.0147664826049851+0.01561918890176154j),(0.8429563476170961-0.05850453044210945j),(1.2164885870284528-2.386128334070039j),(-1.4251678329431159+0.5429005239784078j),(1.3323874963441285+0.5166114214403236j)
1.05,(-0.7133197681277095-0.65882726082472j),(-0.21921956509995894+0.8018152698644402j),(-1.2985112051640393-0.14097265851412877j),(0.8453150071576151+1.5482218416903109j),(-0.30420735421459616+0.1235274782853877j),(0.6076932280165465+0.4438279131869714j),(-1.0111939859025436+0.020463450101417528j),(0.830369078075545-0.056717235826959464j),(1.220513670445077-2.386372611372511j),(-1.4217179124319148+0.5435997523288673j),(1.3284889559516957+0.5157912998908053j)
1.06,(-0.7181163109046226-0.6528645922118952j),(-0.21748977012117776+0.7960968779808888j),(-1.2950886358853748-0.1345886831582468j),(0.844042359384228+1.5463994084135866j),(-0.3107209706864491+0.12561593218317202j),(0.602465186676981+0.43964299607881985j),(-1.0073751710999839+0.02510192980334191j),(0.8177649209883536-0.05482685547857874j),(1.2248145998926865-2.386766077667681j),(-1.4181794535005643+0.544092776586984j),(1.32451197344284+0.5150788748216748j)
1.07,(-0.722615245338228-0.6468910796103368j),(-0.2160337876706207+0.7901742064440849j),(-1.2912930491156787-0.12835566971438342j),(0.8426457700829095+1.5445734330450214j),(-0.3171715202409568+0.12771866954331018j),(0.5970318518846449+0.4355477730914014j),(-1.0033039464118403+0.02951275256526232j),(0.8052938220296236-0.05276562571526761j),(1.2294946749847022-2.3874105371027947j),(-1.414550466809939+0.5443540131292274j),(1.3203615016666068+0.5145026845057258j)
1.08,(-0.7268580053228411-0.6409136241718055j),(-0.21488670888736952+0.7840213584904859j),(-1.287109421609071-0.12231266402926813j),(0.8411110378750404+1.542721147399549j),(-0.32361249908696527+0.1298243315794761j),(0.5913496621371681+0.43153058216658774j),(-0.9989714078791534+0.033673020442270385j),(0.7931370038801795-0.05045180971176859j),(1.2346773635224269-2.388429198227349j),(-1.4108271643120973+0.5443545851506093j),(1.315920085313609+0.5140965450068175j)
1.09,(-0.7308786674957926-0.6349727246379921j),(-0.21406643251672813+0.777647402125339j),(-1.2825751748517886-0.11649362333034353j),(0.8394360475432954+1.5408381467943848j),(-0.3300590827913491+0.13191238883273662j),(0.5854079345213837+0.427593495921165j),(-0.9944071484114885+0.0375689011022959j),(0.7813386717859764-0.047852474862815055j),(1.2404365718643606-2.389902193611321j),(-1.4070270117526054+0.5440871416113243j),(1.3111411733359803+0.5138716131362039j)
1.1,(-0.7346177475324043-0.6291749149728368j),(-0.21357989764791538+0.7711261291756902j),(-1.277783229114688-0.11095442863871986j),(0.8376293871374674+1.5389865135123082j),(-0.33642374769974287+0.1339745470428584j),(0.5792654210412926+0.4237972171140362j),(-0.9896946009231014+0.041176503176901434j),(0.7695766063009857-0.04508570273336489j),(1.246676845878154-2.3917153807061164j),(-1.4032189296091466+0.5435647861131331j),(1.3062159091645107+0.513800084980913j)
1.11,(-0.7379966820571859-0.6235614242160648j),(-0.2134942803430098+0.764459049971901j),(-1.2727007178134646-0.10580182770131602j),(0.8356647380557366+1.5372024344200683j),(-0.3426917261269773+0.1360408846320063j),(0.572908110299726+0.4201912316514184j),(-0.9848307649974226+0.04442837447311361j),(0.7578317700920747-0.042174993854487884j),(1.2534026779349425-2.3938253121631243j),(-1.3994418682385419+0.5427373909248413j),(1.3012075296960364+0.5139176576820687j)
1.12,(-0.7409616394912728-0.6181927673446675j),(-0.2138614910874302+0.7576726871613171j),(-1.2673419677106754-0.10114523382533787j),(0.8335264154853556+1.535517638202551j),(-0.348834521452972+0.1381301246966807j),(0.5663391473353576+0.41681981212079616j),(-0.9798425973488265+0.04726347290902601j),(0.7461262595407627-0.039134148465301076j),(1.2606279438007488-2.3962222235665394j),(-1.3957479327877924+0.5415713689189205j),(1.296163493952342+0.5142547833023194j)
1.1300000000000001,(-0.7434834291766262-0.613153370382694j),(-0.21471486675247584+0.7508236733439183j),(-1.2617764322068579-0.09709500086608505j),(0.8312114142148201+1.5339615735076528j),(-0.35480444814538287+0.1402478388186051j),(0.5595837970324004+0.4137233917516047j),(-0.97479266953307+0.04962907240989001j),(0.734504935852199-0.035973780884961504j),(1.2683687764261302-2.3989245049627312j),(-1.3922050220571764+0.5400533109567426j),(1.2911248248168286+0.5148330467036697j)
