t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00
0.46,(1.1460745135589676+1.004373703018956j),(0.33659504627397824+0.7228605004387533j),(0.28926817439625574+0.8811758901172656j),(0.8966725981046044+0.19280055604721139j),(0.5597303393697652+0.7656309919561916j),(0.028056941191686523+0.6008334524108503j),(0.4368857946733881+0.8370913296386798j),(1.1548527487535794+0.07348504164904995j),(0.26776728609202266+0.8262447439061879j),(0.0933517221878431+0.5597901319808587j),(1.3391171935919126+0.4177217234446221j),(0.41529627588508317+0.7478369184960557j),(-0.7388808788614762+0.14374036430884266j),(0.25766163696966815+0.5588545074065319j),(0.18424449156503334+0.8265324919175407j)
0.47000000000000003,(1.1418676978980515+0.9922672476701194j),(0.3310260386290313+0.7170960010411992j),(0.2853533095447049+0.8729748747945476j),(0.8945825615463819+0.19308272972325285j),(0.5545514867791851+0.7597245040008963j),(0.022530721600216182+0.5941146888317421j),(0.4321966866462951+0.8298901107047726j),(1.1541924924629219+0.07198999711982412j),(0.26326711367338534+0.8187507586807966j),(0.08736483067179834+0.5540101359314744j),(1.3359902403310508+0.4126295364449039j),(0.4098930779507814+0.74199492259349j),(-0.73855855085071+0.1374166705741876j),(0.2513991716332379+0.554676910130795j),(0.1800575917151535+0.8187029674267745j)
0.48,(1.1377704568835456+0.9804377432159811j),(0.32544742564597945+0.7114689858055294j),(0.2813794911623743+0.8649792120575305j),(0.8925059066288094+0.19339215345844307j),(0.5493834067122388+0.7539890203789722j),(0.01700080345841269+0.5874683355979482j),(0.427487661164589+0.8228846882966415j),(1.1535551621921412+0.07048471649536123j),(0.25872184573583196+0.8114356799570116j),(0.08138913043331046+0.5482887128710052j),(1.332956731696606+0.40757169183928943j),(0.4044845842756757+0.7363069276448401j),(-0.7382673737392547+0.13110389683593673j),(0.24514837676626305+0.5505647366763196j),(0.17581078643338735+0.8110461581650318j)
0.49,(1.1337366513625518+0.9688646294005632j),(0.31985060537027626+0.7059482226472881j),(0.27733956962474154+0.857150731413555j),(0.890435627015068+0.19372425744757327j),(0.5442096445977102+0.7483958582357625j),(0.011468529674843447+0.5808649347141283j),(0.4227458186117271+0.8160408819162552j),(1.1529372942217808+0.0689754363324794j),(0.25412510564983143+0.8042633891018244j),(0.07542397701648802+0.5425978398285384j),(1.3299937545150897+0.40255919104836707j),(0.39905937713435163+0.7307420164392806j),(-0.7380018058528716+0.124793726715548j),(0.23890413826443935+0.5464912516991325j),(0.17150099141409378+0.8035252388896275j)
0.5,(1.1297219555826319+0.9575287479919056j),(0.31422737935255624+0.7005029392606118j),(0.2732265113176543+0.8494522474590008j),(0.8883647128301809+0.19407428575476368j),(0.5390142720012278+0.7429168108674283j),(0.005935483459781669+0.5742755171013928j),(0.4179586454447351+0.8093252817730484j),(1.152335551284109+0.06746838684623092j),(0.24947070880592828+0.7971985789060655j),(0.06946909516698133+0.5369098507713723j),(1.3270791073606034+0.3976029747988266j),(0.3936064759078955+0.7252697530580446j),(-0.7377569109226277+0.11847773942282985j),(0.23266181091193217+0.54242988467806j),(0.16712518521161135+0.7961042368107496j)
0.51,(1.1256839099402836+0.946412298966386j),(0.30856999150301867+0.6951028865608883j),(0.2690334605650308+0.8418476061996497j),(0.8862861738632802+0.1944373156034962j),(0.5337819342911096+0.7375241940593187j),(0.0004035055695292963+0.5676716769294001j),(0.4131140675625745+0.8027052930412658j),(1.1517467379237418+0.06596977127352535j),(0.24475271433912008+0.7902068078949872j),(0.06352459446259054+0.5311975143911128j),(1.3241913607288947+0.39271389349287356j),(0.3881153802383996+0.7198602400992812j),(-0.7375283654557936+0.11214745606456748j),(0.22641724261768142+0.5383543084107699j),(0.1626804616960538+0.7887480893927324j)
0.52,(1.1215819901895823+0.9354987826285394j),(0.3028711695025624+0.6897184085752182j),(0.26475380377142493+0.8343017403775639j),(0.8841930648759019+0.1948082758493406j),(0.5284979048642687+0.7321908967861221j),(-0.005125291120145052+0.5610256506211622j),(0.40820050887557613+0.7961491871588104j),(1.1511678120192301+0.06448574383451748j),(0.2399654785013124+0.783254562877196j),(0.05759098312110486+0.5254341163955348j),(1.3213099102109223+0.38790266514461746j),(0.3825761172901536+0.714484182022425j),(-0.7373124660976121+0.10579438484988245j),(0.22016679907926529+0.5342385223808793j),(0.15816408235483795+0.7814227105358771j)
0.53,(1.117377689693041+0.924772928620774j),(0.29712416820671633+0.6843205179685546j),(0.26038123527527457+0.8267807324441385j),(0.8820785130285319+0.19518196461290405j),(0.5231481450519562+0.7268904357589066j),(-0.010648509773333394+0.5543103995464327j),(0.4032069542523332+0.7896261592040842j),(1.1505958924473947+0.06302238650257037j),(0.23510370921615514+0.7763093285303706j),(0.05166917979724437+0.5195935454331847j),(1.318415022382564+0.38317982202292317j),(0.37697929243234823+0.709112953874342j),(-0.7371061368597782+0.099410065240335j),(0.21390738848605276+0.5300569403437103j),(0.15357352817961686+0.7740950638385574j)
0.54,(1.113034611292524+0.9142206130932322j),(0.2913228143966346+0.6788809763033704j),(0.2559098242912848+0.819251883743748j),(0.8799357473888277+0.19555306608751644j),(0.5177193686921999+0.7215970132670668j),(-0.016163460536787567+0.5474996953391209j),(0.3981230158940405+0.7831063903322076j),(1.1500282629365315+0.06158568482135186j),(0.23016252125820472+0.7693396627345594j),(0.045760523183523485+0.5136503816942937j),(1.3154878732404969+0.37855564733671637j),(0.3713161425535719+0.70371867458396j),(-0.7369069360652925+0.09298611109881053j),(0.20763648583267763+0.5257844813861081j),(0.14890655080121049+0.7667332415431086j)
0.55,(1.1085185654094458+0.9038287656300246j),(0.2854615521554573+0.6733723780420252j),(0.2513340822104462+0.8116837884010641j),(0.8777581304349251+0.19591616657404337j),(0.5121991102266129+0.7162855777267632j),(-0.021667154300491306+0.5405682067026295j),(0.39293900206512244+0.7765611141985613j),(1.1494623722197617+0.06018150302693706j),(0.22513749141292205+0.7623152762798622j),(0.039866779238758664+0.5075799871549914j),(1.3125105791517717+0.37404010347023037j),(0.3655785911187636+0.6982742839371826j),(-0.7367130628371322+0.08651425289562682j),(0.20135215637961523+0.5213966636252464j),(0.14416122246556676+0.7593065476783962j)
0.56,(1.1037976710544926+0.8935852678461347j),(0.2795354880816625+0.6677682372166271j),(0.24664902942793213+0.8040464103420281j),(0.875539191416649+0.19626576983306898j),(0.5065757950591382+0.7109318863119458j),(-0.027156299288999833+0.5334915865076273j),(0.38764598699857955+0.7699626862481141j),(1.1488958306644057+0.058815558743607964j),(0.22002471289905562+0.7552071154991205j),(0.033990145883027505+0.5013585963651516j),(1.3094662204396472+0.3696427534183641j),(0.35975930398895484+0.692753622271836j),(-0.7365233629402651+0.07998637903278866j),(0.19505307777167197+0.5168696996252962j),(0.13933598438418426+0.7517855838317036j)
0.5700000000000001,(1.0988424565395725+0.8834788458613861j),(0.2735404354971395+0.6620430756143106j),(0.24185026078687222+0.7963111618279715j),(0.8732726613869448+0.19659631188150595j),(0.5008388108087453+0.7055125690099469j),(-0.03262730047089139+0.5262465579428007j),(0.38223588070032427+0.7632846547058695j),(1.148326403615827+0.05749339752466194j),(0.2148208482739946+0.7479874463121529j),(0.028133255019126915+0.49496340662663635j),(1.3063388578933743+0.3653726771832691j),(0.3538517449475357+0.6871315118656788j),(-0.7363373337731854+0.0733945763476745j),(0.18873856030919048+0.5121805925321977j),(0.13442969294519286+0.7441423359174679j)
