t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00
1.79,(1.000393947301582-0.00012441905601909178j),(0.6188172437258034+0.7758755715714285j),(0.9017095517771548-2.6146758240577315j),(0.9775929733932432-0.9721475825711472j),(-2.6474365198102965-1.1450798590250786j),(0.9850321970948582+1.11924726706013j),(-0.837564622388572+0.21362118637947658j),(-0.5448953342940558+0.49934066611164735j),(-0.4635749274035597+0.3176569628050954j),(1.000393947301582-0.00012441905601909178j)
1.8,(1.0003967401791976-0.00012163447895875435j),(0.6079983671882295+0.7621732441282774j),(0.9360685815661344-2.696731763682528j),(0.9966516065348907-0.9860695786531701j),(-2.7170280158196065-1.0756902711395226j),(0.9642935111205143+1.10154639267791j),(-0.8338379020768745+0.2085792602856176j),(-0.5401526575929959+0.4870908973713433j),(-0.4617839659585569+0.30543315122043724j),(1.0003967401791976-0.00012163447895875435j)
1.81,(1.0003995388804698-0.0001186324178433211j),(0.5971657028510156+0.7482945473161507j),(0.9744492460588464-2.7845622480719734j),(1.0168747221804777-1.0003383243066375j),(-2.7848862959382177-0.9989765645996302j),(0.9436151751435997+1.083653590714315j),(-0.8301274336831806+0.2033502240958448j),(-0.5354905095770324+0.47458107175282116j),(-0.46002434454533403+0.2929777983883311j),(1.0003995388804698-0.0001186324178433211j)
1.82,(1.000402333215349-0.0001154135719079944j),(0.5863418655738543+0.7342522662532758j),(1.0173462604037504-2.8785190558618385j),(1.038329352877509-1.0149255962398558j),(-2.850077646563423-0.9147485363352086j),(0.9230418269209114+1.0655848385103766j),(-0.826443407645191+0.19793516279250964j),(-0.5309191256636542+0.4618225964247408j),(-0.45830266380820106+0.2802990765822381j),(1.000402333215349-0.0001154135719079944j)
1.83,(1.0004051125068265-0.00011197961623104901j),(0.5755491141479575+0.7200601787815278j),(1.06530744344863-2.978932834073413j),(1.061084812563997-1.0297970452667666j),(-2.911580848657834-0.8229454721405963j),(0.9026164497078423+1.0473580154834132j),(-0.8227961951363689+0.19233594951180435j),(-0.5264483638993448+0.44882771542384514j),(-0.4566254037154718+0.2674058385285059j),(1.0004051125068265-0.00011197961623104901j)
1.84,(1.0004078656750715-0.00010833323854862643j),(0.5648091732673312+0.7057329457823514j),(1.1189318235069778-3.086093642170577j),(1.0852124743846618-1.0449115320427371j),(-2.96830690402229-0.7236615517576203j),(0.8823800072391899+1.0289927084563246j),(-0.8191962619798003+0.18655525528565514j),(-0.5220876138321217+0.43560941447976226j),(-0.45499886779185855+0.25430755742037814j),(1.0004078656750715-0.00010833323854862643j)
1.85,(1.0004105813295903-0.00010447817009569154j),(0.5541430735093481+0.6912859982242875j),(1.1788632129551067-3.2002256094179593j),(1.1107854537114832-1.0602204126131531j),(-3.019126114265401-0.6171684795258413j),(0.8623711341194864+1.0105099975919316j),(-0.8156540823730046+0.18059655202559852j),(-0.5178457159591208+0.4221813253319023j),(-0.45342913256147965+0.24101426827269085j),(1.0004105813295903-0.00010447817009569154j)
1.86,(1.000413247868523-0.00010041920943330536j),(0.5435710103172325+0.676735422512337j),(1.2457774495008098-3.3214554202378674j),(1.1378781781938272-1.0756667782734803j),(-3.062902266405138-0.503933100989467j),(0.842625882857043+0.9919322283620308j),(-0.8121800533875926+0.17446410864802292j),(-0.5137308921910432+0.40855763086807373j),(-0.45192200256620213+0.22753651124573096j),(1.000413247868523-0.00010041920943330536j)
1.87,(1.0004158535840264-9.61622382709156e-05j),(0.5331122225019265+0.6620978457025588j),(1.3203614153209102-3.449775267808666j),(1.166565824750132-1.0911846574785968j),(-3.0985328583781935-0.3846280083373538j),(0.823177527347583+0.973282775094194j),(-0.8087844111761251+0.16816298035246105j),(-0.5097506875378007+0.3947529723296119j),(-0.4504829711919264+0.21388527746543237j),(1.0004158535840264-9.61622382709156e-05j)
1.8800000000000001,(1.0004183867725316-9.171422837530434e-05j),(0.5227848903321616+0.6473903220902292j),(1.4032823723226726-3.5850025141144894j),(1.1969236017389946-1.1066981916206768j),(-3.1249937762533784-0.2601329478703608j),(0.8040564213050394+0.9545858015273191j),(-0.8054771497690951+0.16169899117325257j),(-0.5059119229972796+0.38078235971546653j),(-0.44911718740141493+0.20007195775349104j),(1.0004183867725316-9.171422837530434e-05j)
1.8900000000000001,(1.000420835848525-8.708323876919015e-05j),(0.5126060528725902+0.6326302225814592j),(1.4951470319974347-3.7267400302047586j),(1.2290258533220972-1.1221208015234805j),(-3.141385993599592-0.13152528572208377j),(0.7852899089892255+0.9358660234961709j),(-0.802267943279739+0.15507871002671275j),(-0.5022206594272275+0.366661086381511j),(-0.44782942833919637+0.18610829455947808j),(1.000420835848525-8.708323876919015e-05j)
1.9000000000000001,(1.0004231894603706-8.227840256012036e-05j),(0.5025915438710395+0.6178351281230164j),(1.5964518162827854-3.8743436718067583j),(1.2629449625293319-1.137354367556081j),(-3.1469811874411344-5.875400051260499e-05j),(0.766902284621481+0.9171484783902062j),(-0.7991660722560111+0.14830942056821464j),(-0.4986821720027968+0.3524046486755419j),(-0.4466240776447912+0.17200633726259956j),(1.0004231894603706-8.227840256012036e-05j)
1.9100000000000001,(1.0004254366065926-7.730990290497369e-05j),(0.4927559451949764+0.6030227283009638j),(1.7075285504986353-4.026905086824611j),(1.2987500301044737-1.1522884533832796j),(-3.1412628855543754+0.13286948784719946j),(0.7489147961268047+0.8984583054320225j),(-0.7961803548304958+0.14139908525418543j),(-0.4953009347116383+0.33802867127765507j),(-0.4455051091879991+0.15777840088874978j),(1.0004254366065926-7.730990290497369e-05j)
1.92,(1.0004275667509612-7.218893779817254e-05j),(0.48311255657869107+0.5882107260338996j),(1.8284927323721156-4.183257998786863j),(1.3365053082695555-1.1667996114998291j),(-3.123959725497513+0.26576231892586577j),(0.7313456882997397+0.8798205401366781j),(-0.7933190832234996+0.13435630407141347j),(-0.49208061421551963+0.32354883873484463j),(-0.4444760758274301+0.14343702817429863j),(1.0004275667509612-7.218893779817254e-05j)
1.93,(1.0004295699346797-6.692767357464198e-05j),(0.4736733802682078+0.5734167490894259j),(1.9592031208085205-4.342012919989412j),(1.3762683725890341-1.1807508176858164j),(-3.0950677518414116+0.39707449006208917j),(0.7142102801563401+0.8612599255846302j),(-0.7905899660553166+0.12719026844939613j),(-0.489024072311879+0.3089808334929313j),(-0.44354010269424754+0.1289949548066541j),(1.0004295699346797-6.692767357464198e-05j)
1.94,(1.0004314368839615-6.153918723364749e-05j),(0.4644491190394534+0.5586582689508522j),(2.0992416063371997-4.501620572875255j),(1.4180880216840281-1.193991091060883j),(-3.0548593569099793+0.5252697487710029j),(0.6975210710922787+0.8428007424046525j),(-0.7880000768238881+0.1199107109105234j),(-0.4861333761590945+0.29434028054362016j),(-0.44269988442076547+0.11446507758728462j),(1.0004314368839615-6.153918723364749e-05j)
1.95,(1.000433159111308-5.6037397907727444e-05j),(0.455449186013186+0.5439525273621093j),(2.247921141874589-4.660459617670296j),(1.4620019042019832-1.2063553659942385j),(-3.0038774853913486+0.6488793891716833j),(0.6812878704973089+0.8244666586503705j),(-0.7855558088067331+0.11252785103805206j),(-0.4834098153834283+0.27964269862495206j),(-0.44195768567165217+0.09986042519859797j),(1.000433159111308-5.6037397907727444e-05j)
1.96,(1.0004347290088638-5.043698802770817e-05j),(0.44668172469201706+0.5293164706883818j),(2.4043239318763243-4.816937425123j),(1.5080338857051834-1.2176646909877005j),(-2.9429151043309147+0.7665578879752717j),(0.6655179456541229+0.8062806000907898j),(-0.7832628365537345+0.1050523383540054j),(-0.48085392516108444+0.2649034577450235j),(-0.44131534429738645+0.08519413121345011j),(1.0004347290088638-5.043698802770817e-05j)
1.97,(1.0004361399323205-4.475331494240053e-05j),(0.4381536376931889+0.5147666920527751j),(2.567349764420092-4.969572466503372j),(1.5561911853914276-1.2277268367518512j),(-2.8729811306933013+0.8771318049645759j),(0.6502161830478528+0.7882646408406874j),(-0.7811260840522859+0.0974951926996407j),(-0.47846551436303597+0.25013774264666777j),(-0.4407742764180805+0.07047940896492381j),(1.0004361399323205-4.475331494240053e-05j)
1.98,(1.0004373862739773-3.900231396381812e-05j),(0.4298706227371171+0.500319381048861j),(2.7357911957335377-5.117074755327598j),(1.6064613339455323-1.2363373997093416j),(-2.795255320892498+0.9796383005124982j),(0.6353852586031153+0.7704399137441278j),(-0.779149699570124+0.08986774270161502j),(-0.4762436978608728+0.23536052169952726j),(-0.44033548276277684+0.05572952789253974j),(1.0004373862739773-3.900231396381812e-05j)
1.99,(1.0004384635237307-3.320039398735405e-05j),(0.4218372145668149+0.48599028068749967j),(2.908398829539-5.25838832825125j),(1.6588090290971598-1.2432814864887254j),(-2.7110359377967423+1.0733504512367187j),(0.6210258128214396+0.7528265395008571j),(-0.7773370371149682+0.08218156288927614j),(-0.4741869321169615+0.22058652059959943j),(-0.43999955563553533+0.04095779099581833j),(1.0004384635237307-3.320039398735405e-05j)
2.0,(1.0004393683169654-2.736432699983739e-05j),(0.4140568316070477+0.47179465111535296j),(3.0839436212842397-5.392711420153385j),(1.7131729938375608-1.2483360578430602j),(-2.6216843505651637+1.1577883224772247j),(0.6071366272878234+0.7354435731929888j),(-0.7756906443944391+0.07444841000451853j),(-0.4722930532202452+0.2058302001779801j),(-0.4397666859542648+0.026177513052485203j),(1.0004393683169654-2.736432699983739e-05j)
