t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00
0.93,(1.0001692181814745-0.00015939327014213183j),(3.8367989325784224+1.3059350209092395j),(0.21716305406911696-0.4700990057352895j),(0.36010860112550647-0.20792235396234104j),(-0.28976897945118857-0.5775820656907658j),(4.303875822966163-0.9911897617047252j),(-1.2876438779911663+0.11852363364534406j),(-2.0537935670399685+0.4630256394545815j),(-1.5895963237341542+1.100103327990598j),(1.0001692181814745-0.00015939327014213183j)
0.9400000000000001,(1.0001738474012036-0.00015921742148778168j),(3.729223351665921+1.4118890049300066j),(0.2226023736109729-0.4861510500557433j),(0.36362919057438015-0.2190348656495055j),(-0.2926325915630765-0.5969509556278396j),(4.380001443398173-0.8421432068267165j),(-1.2827266247051399+0.13061309534455176j),(-2.022810910961844+0.5155785169645386j),(-1.5347091474497443+1.111063820143464j),(1.0001738474012036-0.00015921742148778168j)
0.9500000000000001,(1.0001785065398892-0.00015892999947666884j),(3.614677602180255+1.5083581638828172j),(0.22823951720034386-0.5025508006428081j),(0.3673584566753434-0.2302949090206031j),(-0.29581902482008715-0.6167293834058568j),(4.444368046366011-0.6848242669464726j),(-1.2773197822307554+0.14249297045840081j),(-1.988833950665151+0.5655918444471834j),(-1.480774303312468+1.1188969388390988j),(1.0001785065398892-0.00015892999947666884j)
0.96,(1.0001831863330057-0.0001585314227972549j),(3.4945154474819837+1.5946805113384468j),(0.2340761523014373-0.5192922753083767j),(0.37129872209482145-0.2416892122926852j),(-0.29934829317062067-0.6369119496903209j),(4.495803340478318-0.5205562283805718j),(-1.271439346956853+0.15412376974058542j),(-1.9521783114006002+0.6127918170105746j),(-1.4280244805944111+1.1237918114318417j),(1.0001831863330057-0.0001585314227972549j)
0.97,(1.0001878773922654-0.00015802287420930316j),(3.370173471675841+1.6704245524016237j),(0.24011339889763578-0.536368842847981j),(0.3754516342702382-0.25320411282478406j),(-0.3032409497907016-0.6574920087742729j),(4.533339914800221-0.35083649186037663j),(-1.2651052232529856+0.1654678363250625j),(-1.9131888549125722+0.6569555030586098j),(-1.3766590922988773+1.1259537035695901j),(1.0001878773922654-0.00015802287420930316j)
0.98,(1.0001925702788539-0.00015740631297469593j),(3.2431180772411836+1.735400016502363j),(0.24635178683528372-0.5537731933208437j),(0.3798181216133796-0.2648255857254133j),(-0.3075180297488161-0.6784615599002581j),(4.55624409764148-0.17730325079224724j),(-1.2583409664089926+0.17648981075235295j),(-1.8722299455380664+0.6979137352676845j),(-1.326844362223178+1.1255984223657507j),(1.0001925702788539-0.00015740631297469593j)
0.99,(1.000197255577628-0.0001566844785768093j),(3.1147948559275007+1.789653516069348j),(0.2527912118604211-0.5714973066853695j),(0.3843983520249628-0.2765392728297442j),(-0.31220098004609614-0.6998111321479151j),(4.564038532845714-0.0016947369466528365j),(-1.2511734618160923+0.18715705049009307j),(-1.8296756593825496+0.7355519216054582j),(-1.2787143039545525+1.122947211086356j),(1.000197255577628-0.0001566844785768093j)
1.0,(1.0002019239712039-0.00015586088552650755j),(2.986580289814101+1.83345290764629j),(0.2594308902296229-0.5895324204194982j),(0.3891916942639422-0.2883305125400495j),(-0.3173115758243802-0.721529663924194j),(4.556516822859287+0.17419264355977218j),(-1.2436325493504639+0.19743999440104257j),(-1.7859004131946339+0.769808906168065j),(-1.2323724092592339+1.118222245673515j),(1.0002019239712039-0.00015586088552650755j)
1.01,(1.000206566312848-0.00015493980920870782j),(2.859739226127222+1.8672612026718542j),(0.26626931184208324-0.6078689968241111j),(0.3941966827352078-0.30018437106305196j),(-0.32287182158911687-0.7436043784176949j),(4.533750888635455+0.3485477082247069j),(-1.235750603433843+0.20731246458562785j),(-1.7412704161846506+0.8006741191403116j),(-1.1878938630815108+1.1116427931569939j),(1.000206566312848-0.00015493980920870782j)
1.02,(1.000211173697098-0.00015392626287529432j),(2.735391791548037+1.8917022728579205j),(0.2733041919397349-0.6264966907847214j),(0.39941098627379545-0.3120856755965559j),(-0.3289038363930937-0.7660206567449631j),(4.496090551980267+0.5195899528427855j),(-1.2275620802855833+0.2167519002415336j),(-1.6961362514344853+0.8281833331082666j),(-1.1453281133527373+1.103422048757187j),(1.000211173697098-0.00015392626287529432j)
