t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
1.27,(9.095382715129775e-09+1.3018151668160531e-08j),(2.639726726774658e-07-1.0273559772530576e-07j),(-2.915858182879738e-07-5.192837413043415e-08j),(0.0006974117861126705-0.0019102601400390418j),(-0.0005980866799956797+0.0007217594166283334j),(1.7936996806425038e-09+1.3113978362517115e-08j)
1.28,(9.88882594993188e-09+7.034256987851534e-09j),(1.6717667575453097e-07-1.279786041460374e-07j),(-2.519444115694058e-07+6.990653349953332e-08j),(-0.0003959755623231733-0.002002302802772169j),(-0.00020105718283126208+0.0008061936314243162j),(4.5912752022064435e-09+9.019558634164208e-09j)
1.29,(8.919063483521759e-09+2.6677898705566293e-09j),(9.484605984965727e-08-1.2524530508584536e-07j),(-1.762612441722625e-07+1.4982921983643062e-07j),(-0.0013740188962035637-0.0015207413065943137j),(0.0001463628079605257+0.0007235150376470752j),(5.523876311313355e-09+5.463495020084254e-09j)
1.3,(7.168411223682122e-09-1.5740216568385205e-10j),(4.495382550596295e-08-1.0880524059427376e-07j),(-8.838548543731528e-08+1.8512686314681227e-07j),(-0.001965646935243502-0.0006128423201303419j),(0.0003925188556596109+0.0005273192009717896j),(5.32603878364729e-09+2.73743819752643e-09j)
1.31,(5.2642464322142975e-09-1.74169265442296e-09j),(1.3097008791066493e-08-8.76330390019134e-08j),(-6.837016805966496e-09+1.8219826781844092e-07j),(-0.0020167847797798923+0.0004636924829319682j),(0.0005165803101230811+0.0002785169005678219j),(4.5559588175325295e-09+8.502542487039868e-10j)
1.32,(3.5484230967783927e-09-2.4387138817954423e-09j),(-5.504805953853757e-09-6.676761406207758e-08j),(5.6852481369317115e-08+1.5213432263463441e-07j),(-0.0015243432696127558+0.0014164514335970244j),(0.0005242860632144988+3.255143397787303e-05j),(3.5869412494982587e-09-3.271861810235065e-10j)
1.33,(2.1649286099963613e-09-2.5657936153217267e-09j),(-1.5047247081226028e-08-4.861503033457496e-08j),(9.778275937761679e-08+1.0705282497763473e-07j),(-0.0006279428659988204+0.0019969226588902643j),(0.0004401120060027346-0.0001688963504585584j),(2.6387005182012927e-09-9.68523105526204e-10j)
1.34,(1.137652436023199e-09-2.369208051616179e-09j),(-1.880896135156636e-08-3.398278563620595e-08j),(1.1620754042380095e-07+5.763728213912941e-08j),(0.00043418306584807644+0.0020615917283783687j),(0.00029831092467652587-0.00030153608231401615j),(1.8201710943839408e-09-1.2402868367290936e-09j)
1.35,(4.282503876147109e-10-2.020869434776743e-09j),(-1.9153467938758118e-08-2.280924910306645e-08j),(1.1568702427680857e-07+1.1875899117940316e-08j),(0.0013905031996835082+0.0016020345118529463j),(0.00013471988097002333-0.0003581531158514575j),(1.169098425481027e-09-1.2791281191413485e-09j)
1.36,(-2.604543063416209e-11-1.6297295710515855e-09j),(-1.7676160267818282e-08-1.4632012986037066e-08j),(1.013739581755524e-07-2.5250896171840015e-08j),(0.002004724911994827+0.0007397042114737748j),(-1.9497237042114934e-05-0.0003455474300047752j),(6.826966562145332e-10-1.1862972867001158e-09j)
1.37,(-2.9064585681498436e-10-1.2576669120680743e-09j),(-1.5389501660575132e-08-8.862353013760335e-09j),(7.869171445846793e-08-5.146725854576254e-08j),(0.002130927787643773-0.00030998454380486693j),(-0.000141692158035324-0.0002800120363960577j),(3.3868632427979345e-10-1.0308871746051872e-09j)
1.3800000000000001,(-4.229443327250217e-10-9.34541599597876e-10j),(-1.2894182262563125e-08-4.9289127612144e-09j),(5.247262902027531e-08-6.658803330226305e-08j),(0.001743709121075374-0.0012931107497841762j),(-0.00021921982580271532-0.0001824989537021711j),(1.0828089119231355e-10-8.564548875557715e-10j)
1.3900000000000001,(-4.685316292807673e-10-6.702652439260354e-10j),(-1.05168912263875e-08-2.341217553048067e-09j),(2.6512733554002612e-08-7.182506356191728e-08j),(0.0009386750007325471-0.001977926931665058j),(-0.00024900798344951105-7.431714762864248e-05j),(-3.668252916062462e-11-6.880442168961458e-10j)
1.4000000000000001,(-4.611586577818268e-10-4.6350025612647245e-10j),(-8.411882352834545e-09-7.077521459632879e-10j),(3.442607108381264e-09-6.915697113578652e-08j),(-9.437193155640634e-05-0.0022068282720355686j),(-0.00023580313425326907+2.6136382745153735e-05j),(-1.204455073363432e-10-5.382358636762327e-10j)
1.41,(-4.2441346779956643e-10-3.074223339735936e-10j),(-6.631212362442104e-09+2.688700163084921e-10j),(-1.5195447946316417e-08-6.083242574441046e-08j),(-0.0011175725860771762-0.0019289646905228217j),(-0.00018970879354834457+0.00010541288204503598j),(-1.6230364739334898e-10-4.1179484981798064e-10j)
1.42,(-3.7392365932873596e-10-1.9324307091862726e-10j),(-5.170786135712458e-09+8.062873795018487e-10j),(-2.8759419034416382e-08-4.902458557226979e-08j),(-0.0018992152699010862-0.0012079336221574716j),(-0.00012355408103584855+0.00015585222954506148j),(-1.7678216863442695e-10-3.0896394851442043e-10j)
1.43,(-3.194719874690497e-10-1.1217347530320868e-10j),(-3.99905672615107e-09+1.0590633640402735e-09j),(-3.727997789600423e-08-3.562303012516274e-08j),(-0.0022640951493776854-0.000204603794050141j),(-5.050034562359968e-05+0.00017542018201692041j),(-1.743401563802997e-10-2.276469905216978e-10j)
1.44,(-2.6676735592052097e-10-5.638138029190962e-11j),(-3.0739709493163912e-09+1.1341498300942861e-09j),(-4.123937919114104e-08-2.2134841717584192e-08j),(-0.0021298791803854673+0.0008598866771989388j),(1.785219395915244e-05+0.0001668160944740304j),(-1.622209021813657e-10-1.647665134377939e-10j)
1.45,(-2.1880952784453092e-10-1.9345952376942333e-11j),(-2.352322743478875e-09+1.1037821454997081e-09j),(-4.1381987016892516e-08-9.663126480040033e-09j),(-0.0015228467900193388+0.0017523872710122836j),(7.273148598139465e-05+0.00013614507727889715j),(-1.4525468955285444e-10-1.1704945759469332e-10j)
1.46,(-1.76880656715432e-10+4.119046168606059e-12j),(-1.7944222329392931e-09+1.0155670697045816e-09j),(-3.856627896908894e-08+1.0656353296751233e-09j),(-0.0005708116013755586+0.0022770725146172583j),(0.00010881932410011021+9.14260743927514e-05j),(-1.265337478293662e-10-8.143973464558039e-11j)
1.47,(-1.4123253474896398e-10+1.800229670847756e-11j),(-1.3660137681339529e-09+9.000389649229065e-10j),(-3.3658418947532556e-08+9.648060207337286e-09j),(0.0005244984752271096+0.0023160712765716443j),(0.00012430183246209335+4.1158965907625735e-05j),(-1.0794112064990944e-10-5.52811156327516e-11j)
1.48,(-1.1154340141493798e-10+2.5291861286716057e-11j),(-1.038673941585467e-09+7.76140932875061e-10j),(-2.7462176552363113e-08+1.5940296931081248e-08j),(0.0015295810251915985+0.001853710714046633j),(0.0001204623073319476-6.886577953153145e-06j),(-9.05451582326542e-11-3.6367652773943496e-11j)
1.49,(-8.720934870919711e-11+2.8177641500795398e-11j),(-7.894403051140688e-10+6.550980570582373e-10j),(-2.0677881034038505e-08+1.999472353853194e-08j),(0.002227334964153692+0.0009800371688821487j),(0.00010095894147574265-4.6559086463290276e-05j),(-7.488283473497582e-11-2.292405294814195e-11j)
1.5,(-6.752160851955326e-11+2.8233793141032767e-11j),(-6.001127168840471e-10+5.4310851602036e-10j),(-1.3882640389674919e-08+2.200294349585678e-08j),(0.002461942998218995-0.00012680643706800378j),(7.093810826332112e-05-7.384975819348908e-05j),(-6.11568902226355e-11-1.3554012294343329e-11j)
1.51,(-5.1768369897573283e-11+2.657097629114543e-11j),(-4.56468326799318e-10+4.4317080021427796e-10j),(-7.52528287532888e-09+2.224738241326606e-08j),(0.002171838548755013-0.0012359132185078604j),(3.6112068036886864e-05-8.705787629116482e-05j),(-4.936915481411063e-11-7.178317999487638e-12j)
1.52,(-3.928844225959535e-11+2.3957647075110965e-11j),(-3.475096490079361e-10+3.5630237433963895e-10j),(-1.9307253452939612e-09+2.106194125003294e-08j),(0.0014043778947735713-0.0021099863820017196j),(1.9193068734226824e-06-8.663696090295332e-05j),(-3.940823905125098e-11-2.9742780145621166e-12j)
1.53,(-2.949525855245261e-11+2.0913626359438312e-11j),(-2.6480315221767704e-10+2.8234132596163266e-10j),(2.690164855870975e-09+1.880103518477805e-08j),(0.0003091175237853324-0.002554066145998306j),(-2.714566866705537e-05-7.47938153582252e-05j),(-3.110553014377821e-11-3.218673624011521e-13j)
1.54,(-2.1883565040805236e-11+1.7780505363780656e-11j),(-2.019245315582059e-10+2.204634104283535e-10j),(6.227786560142447e-09+1.5815718681533023e-08j),(-0.0008895881786533209-0.00245732000314484j),(-4.79797492535385e-05-5.4926235058345925e-05j),(-2.4269745899818495e-11+1.2415403151966788e-12j)
1.55,(-1.602667581541263e-11+1.4773648943653385e-11j),(-1.5400733774595709e-10+1.695088141260267e-10j),(8.659681534793222e-09+1.2435534498017683e-08j),(-0.0019361507674769032-0.0018195721753475076j),(-5.9073869629535e-05-3.099061507374364e-05j),(-1.8707350976433125e-11+2.0578551594563695e-12j)
1.56,(-1.1569159802382702e-11+1.2020064946470727e-11j),(-1.1738302193383807e-10+1.2818371347940326e-10j),(1.0035905740515886e-08+8.954891901684757e-09j),(-0.0025957735235109317-0.0007566805921216013j),(-6.047915687576479e-05-6.8868039640706115e-06j),(-1.4233905517605104e-11+2.377250022650377e-12j)
1.57,(-8.21784159151829e-12+9.58569233386967e-12j),(-8.929773705518261e-11+9.518084917069171e-11j),(1.0464244885931202e-08+5.623083310253845e-09j),(-0.002705212146452286+0.0005175362143804343j),(-5.357117972335181e-05+1.4064646725931671e-05j),(-1.0679782349621855e-11+2.3806441939405505e-12j)
1.58,(-5.732720662120683e-12+7.494927472044985e-12j),(-6.769154030709163e-11+6.924872019344622e-11j),(1.009537295348567e-08+2.63739461212626e-09j),(-0.0022120825150766295+0.0017308553844335019j),(-4.066732534808652e-05+2.949673706580489e-05j),(-7.892525461034318e-12+2.1969299205485182e-12j)
1.59,(-3.918615279024718e-12+5.744549911713325e-12j),(-5.102731234941755e-11+4.9228903564308773e-11j),(9.107996357731618e-09+1.3908208880972877e-10j),(-0.001193859796801581+0.0026074270028587946j),(-2.456514807317829e-05+3.8189601133591984e-05j),(-5.7373108363814e-12+1.9160672374940946e-12j)
1.6,(-2.6178547816258057e-12+4.3136580141279986e-12j),(-3.815883317581785e-11+3.407410792005105e-11j),(7.69412040117162e-09-1.7877751091783964e-09j),(0.00014917962692468723+0.0029279118094611904j),(-8.073531984950199e-06+4.007750049165854e-05j),(-4.096414320629613e-12+1.5990039045947516e-12j)
1.61,(-1.7040666920907564e-12+3.170782859610564e-12j),(-2.8229554484840268e-11+2.28549092739664e-11j),(6.0447663993994095e-09-3.114422303889848e-09j),(0.0015282448244877604+0.0025829467730436022j),(6.396737671880968e-06+3.608890487643191e-05j),(-2.868216785162548e-12+1.2851975217572892e-12j)
1.62,(-1.0769598307326615e-12+2.2790053381409633e-12j),(-2.059545534001014e-11+1.4760008040024944e-11j),(4.3366970609414526e-09-3.86247921104977e-09j),(0.0026232785524626695+0.0016077805691499289j),(1.7130263262438806e-05+2.78610676884333e-05j),(-1.966031316063846e-12+9.98348084310738e-13j)
